continent,superregion,region,area,province,location_type,location_name,hexcode,topography,vegetation,climate,religion,culture,raw_material,natural_harbor_suitability,owner,cores,old_province_number
africa,bulwar_superregion,bulwar_proper_region,medurubar_area,medurubar,land,medurubar,d08240,flatland,grasslands,continental,bulwari_sun_cult,brasanni,unknown,,F37,"F37,F76",561
africa,bulwar_superregion,bulwar_proper_region,upper_brasan_area,aqatabtu,land,aqatabtu,508480,flatland,grasslands,continental,bulwari_sun_cult,brasanni,salt,0.25,F24,F24,562
africa,bulwar_superregion,bulwar_proper_region,upper_brasan_area,rakkubtu,land,rakkubtu,d086c0,flatland,grasslands,continental,bulwari_sun_cult,brasanni,salt,0.25,F24,F24,563
africa,bulwar_superregion,bulwar_proper_region,lower_brasan_area,djinnkalis,land,djinnkalis,5088ff,flatland,grasslands,continental,bulwari_sun_cult,brasanni,fish,0.25,F24,F24,564
africa,bulwar_superregion,bulwar_proper_region,lower_brasan_area,brasan,land,brasan,d08a00,flatland,grasslands,continental,bulwari_sun_cult,brasanni,unknown,0.25,F24,F24,565
africa,bulwar_superregion,far_salahad_region,arrtukerr_area,ergulagnu,land,ergulagnu,508c40,flatland,grasslands,continental,xhazobkult,sandfang_gnoll,iron,0.25,F29,"F29,F93",566
africa,bulwar_superregion,bulwar_proper_region,upper_brasan_area,urasum,land,urasum,d18e80,flatland,grasslands,continental,bulwari_sun_cult,brasanni,wheat,,F24,F24,567
africa,bulwar_superregion,bulwar_proper_region,medurubar_area,kadumar,land,kadumar,5190c0,flatland,grasslands,continental,bulwari_sun_cult,brasanni,livestock,0.25,U05,"U05,F76,F37",568
africa,bulwar_superregion,bulwar_proper_region,lower_brasan_area,brasan_tanuz,land,brasan_tanuz,519400,flatland,grasslands,continental,bulwari_sun_cult,brasanni,sugar,0.25,F24,F24,570
africa,bulwar_superregion,far_bulwar_region,garpix_zokka_area,ilzin_zokka,land,ilzin_zokka,d19640,flatland,grasslands,continental,xhazobkult,sandfang_gnoll,ivory,,F29,F29,571
africa,bulwar_superregion,bulwar_proper_region,medurubar_area,suran_narit,land,suran_narit,519880,flatland,grasslands,continental,bulwari_sun_cult,brasanni,sugar,,U05,"U05,F76,F37",572
africa,bulwar_superregion,bulwar_proper_region,outer_drolas_area,dromaz,land,dromaz,d19ac0,flatland,grasslands,continental,bulwari_sun_cult,sun_elf,wool,0.25,U05,"U05,F32",573
africa,bulwar_superregion,bulwar_proper_region,inner_drolas_area,drolaklum,land,drolaklum,529cff,flatland,grasslands,continental,bulwari_sun_cult,brasanni,wool,0.25,F32,F32,574
africa,bulwar_superregion,bulwar_proper_region,inner_drolas_area,betelis,land,betelis,d22280,flatland,grasslands,continental,bulwari_sun_cult,brasanni,salt,0.25,F32,F32,577
africa,bulwar_superregion,bulwar_proper_region,outer_drolas_area,kurmod,land,kurmod,5224c0,flatland,grasslands,continental,bulwari_sun_cult,sun_elf,fish,0.25,U05,"U05,F32",578
africa,bulwar_superregion,bulwar_proper_region,inner_drolas_area,drolas_tip,land,drolas_tip,522800,flatland,grasslands,continental,bulwari_sun_cult,brasanni,fish,0.25,F32,F32,580
africa,bulwar_superregion,bahar_region,reuyel_area,yametses,land,yametses,d32a40,flatland,grasslands,continental,bulwari_sun_cult,bahari,fish,0.25,U18,U18,581
africa,bulwar_superregion,bulwar_proper_region,inner_drolas_area,glass_isles,land,glass_isles,532c80,flatland,grasslands,continental,bulwari_sun_cult,brasanni,fish,0.25,F32,F32,582
africa,bulwar_superregion,far_bulwar_region,garpix_zokka_area,grarrir,land,grarrir,d32ec0,flatland,grasslands,continental,xhazobkult,sandfang_gnoll,unknown,,F29,F29,583
africa,bulwar_superregion,bulwar_proper_region,zansap_area,aklum,land,aklum,5330ff,flatland,grasslands,continental,bulwari_sun_cult,brasanni,pepper,,F37,"F37,F76",584
africa,bulwar_superregion,far_bulwar_region,jikarzax_area,jikarzax,land,jikarzax,d33200,flatland,grasslands,continental,xhazobkult,sandfang_gnoll,wool,,F29,"F29,F92",585
africa,bulwar_superregion,bulwar_proper_region,anzabad_area,ginerdu,land,ginerdu,533440,flatland,grasslands,continental,bulwari_sun_cult,sun_elf,cotton,,F37,F37,586
africa,bulwar_superregion,bulwar_proper_region,anzarzax_area,duklum_tanuz,land,duklum_tanuz,5438c0,flatland,grasslands,continental,bulwari_sun_cult,brasanni,cotton,,F37,F37,588
africa,bulwar_superregion,bulwar_proper_region,anzarzax_area,linkum,land,linkum,d43aff,flatland,grasslands,continental,bulwari_sun_cult,brasanni,livestock,,F37,"F37,F74",589
africa,bulwar_superregion,bulwar_proper_region,anzarzax_area,anzarzax,land,anzarzax,543c00,flatland,grasslands,continental,bulwari_sun_cult,brasanni,wheat,,F37,"F37,F74",590
africa,bulwar_superregion,bulwar_proper_region,kumarkand_area,kumarkand,land,kumarkand,d43e40,flatland,grasslands,continental,bulwari_sun_cult,zanite,wheat,,F30,F30,591
africa,bulwar_superregion,bulwar_proper_region,irrliam_area,asr_limes,land,asr_limes,d442c0,flatland,grasslands,continental,bulwari_sun_cult,brasanni,wheat,,F37,F37,593
africa,bulwar_superregion,bulwar_proper_region,irrliam_area,idanas,land,idanas,5444ff,flatland,grasslands,continental,bulwari_sun_cult,sun_elf,wheat,,F37,F37,594
africa,bulwar_superregion,bulwar_proper_region,irrliam_area,irrliam,land,irrliam,d54600,flatland,grasslands,continental,bulwari_sun_cult,sun_elf,wheat,,F37,F37,595
africa,bulwar_superregion,bulwar_proper_region,zansap_area,zansap,land,zansap,554840,flatland,grasslands,continental,bulwari_sun_cult,brasanni,pepper,,F43,F43,596
africa,bulwar_superregion,bulwar_proper_region,grixekyr_area,arfajazan,land,arfajazan,d54a80,flatland,grasslands,continental,xhazobkult,sandfang_gnoll,wheat,,F28,"F28,F43,F91",597
africa,bulwar_superregion,bulwar_proper_region,zansap_area,surib,land,surib,554cc0,flatland,grasslands,continental,bulwari_sun_cult,brasanni,incense,,F43,F43,598
africa,bulwar_superregion,bulwar_proper_region,bulwar_area,kalib,land,kalib,d54eff,flatland,grasslands,continental,bulwari_sun_cult,zanite,unknown,,F44,F44,599
africa,bulwar_superregion,bulwar_proper_region,bulwar_area,azanerdu,land,azanerdu,555000,flatland,grasslands,continental,bulwari_sun_cult,zanite,unknown,,F44,F44,600
africa,bulwar_superregion,bulwar_proper_region,bulwar_area,bulwar,land,bulwar,d55240,flatland,grasslands,continental,bulwari_sun_cult,zanite,silk,,F39,F39,601
africa,bulwar_superregion,bulwar_proper_region,bulwar_area,eduz-buranun,land,eduz-buranun,565480,flatland,grasslands,continental,bulwari_sun_cult,zanite,wheat,,F39,F39,602
africa,bulwar_superregion,bulwar_proper_region,kumarkand_area,sap_idiqlat,land,sap_idiqlat,d656c0,flatland,grasslands,continental,bulwari_sun_cult,zanite,wheat,,F30,F30,603
africa,bulwar_superregion,bulwar_proper_region,harklum_area,zanbar,land,zanbar,5658ff,flatland,grasslands,continental,bulwari_sun_cult,zanite,silk,,F41,F41,604
africa,bulwar_superregion,bulwar_proper_region,jixobix_area,zagnuhar,land,zagnuhar,d65a00,flatland,grasslands,continental,xhazobkult,sandfang_gnoll,wheat,,F28,"F28,F91",605
africa,bulwar_superregion,bulwar_proper_region,jixobix_area,betlibar,land,betlibar,565c40,flatland,grasslands,continental,xhazobkult,sandfang_gnoll,livestock,,F28,"F28,F91",606
africa,bulwar_superregion,bulwar_proper_region,harklum_area,harklum,land,harklum,d65e80,flatland,grasslands,continental,bulwari_sun_cult,zanite,wheat,,F36,F36,607
africa,bulwar_superregion,bulwar_proper_region,traz_buranun_area,traz_buranun,land,traz_buranun,5660c0,flatland,grasslands,continental,bulwari_sun_cult,zanite,unknown,,F42,F42,608
africa,bulwar_superregion,bulwar_proper_region,traz_buranun_area,ulmis_idiqlat,land,ulmis_idiqlat,d762ff,flatland,grasslands,continental,bulwari_sun_cult,sun_elf,incense,,F42,F42,609
africa,bulwar_superregion,bulwar_proper_region,kumarkand_area,xharraranaz,land,xharraranaz,576400,flatland,grasslands,continental,bulwari_sun_cult,zanite,wool,,F30,F30,610
africa,bulwar_superregion,bulwar_proper_region,harklum_area,grumar,land,grumar,d76640,flatland,grasslands,continental,bulwari_sun_cult,zanite,wheat,,F41,F41,611
africa,bulwar_superregion,bulwar_proper_region,harklum_area,traz_suran,land,traz_suran,576880,flatland,grasslands,continental,bulwari_sun_cult,zanite,cotton,,F36,F36,612
africa,bulwar_superregion,bulwar_proper_region,south_naza_area,azkabar,land,azkabar,d76ac0,flatland,grasslands,continental,bulwari_sun_cult,zanite,wheat,,F35,F35,613
africa,bulwar_superregion,bulwar_proper_region,traz_buranun_area,varamhar,land,varamhar,576cff,flatland,grasslands,continental,bulwari_sun_cult,sun_elf,wine,,F42,F42,614
africa,bulwar_superregion,bulwar_proper_region,traz_buranun_area,danas_naza,land,danas_naza,d76e00,flatland,grasslands,continental,bulwari_sun_cult,zanite,wheat,,F42,"F42,F33",615
africa,bulwar_superregion,bulwar_proper_region,north_naza_area,akalses,land,akalses,587040,flatland,grasslands,continental,bulwari_sun_cult,zanite,wheat,,F33,F33,616
africa,bulwar_superregion,bulwar_proper_region,north_naza_area,uqlum,land,uqlum,d87280,flatland,grasslands,continental,bulwari_sun_cult,zanite,wool,,F33,F33,617
africa,bulwar_superregion,bulwar_proper_region,north_naza_area,kalisad,land,kalisad,5874c0,flatland,grasslands,continental,bulwari_sun_cult,zanite,wool,,F33,F33,618
africa,bulwar_superregion,harpy_hills_region,nansalen_area,vainviria,land,vainviria,d876ff,flatland,grasslands,continental,bulwari_sun_cult,firanyan_harpy,unknown,,F80,F80,619
africa,bulwar_superregion,bulwar_proper_region,east_naza_area,mitiq,land,mitiq,587800,flatland,grasslands,continental,bulwari_sun_cult,zanite,livestock,,F25,"F25,F83",620
africa,bulwar_superregion,bulwar_proper_region,east_naza_area,danas_aban,land,danas_aban,d87a40,flatland,grasslands,continental,bulwari_sun_cult,zanite,wheat,,F25,"F25,F83",621
africa,bulwar_superregion,bulwar_proper_region,east_naza_area,setadazar,land,setadazar,587c80,flatland,grasslands,continental,bulwari_sun_cult,sun_elf,wine,,F25,"F25,F83",622
africa,bulwar_superregion,bulwar_proper_region,east_naza_area,orean,land,orean,d97ec0,flatland,grasslands,continental,bulwari_sun_cult,sun_elf,gold,,F25,"F25,F83",623
africa,bulwar_superregion,bulwar_proper_region,south_naza_area,markumar,land,markumar,5980ff,flatland,grasslands,continental,bulwari_sun_cult,zanite,livestock,,F25,F25,624
africa,bulwar_superregion,far_bulwar_region,sareyand_area,sareyand,land,sareyand,d98200,flatland,grasslands,continental,bulwari_sun_cult,sun_elf,unknown,,F25,F25,625
africa,bulwar_superregion,far_bulwar_region,sareyand_area,dahain,land,dahain,598440,flatland,grasslands,continental,bulwari_sun_cult,zanite,wheat,,F25,F25,626
africa,bulwar_superregion,far_bulwar_region,sareyand_area,duklum,land,duklum,d98680,flatland,grasslands,continental,bulwari_sun_cult,sun_elf,wheat,,F25,F25,627
africa,bulwar_superregion,bulwar_proper_region,south_naza_area,kuokrumar,land,kuokrumar,5988c0,flatland,grasslands,continental,bulwari_sun_cult,zanite,wheat,,F25,F25,628
africa,bulwar_superregion,far_bulwar_region,avamezan_area,traz_avamezan,land,traz_avamezan,d98aff,flatland,grasslands,continental,bulwari_sun_cult,sun_elf,wheat,,F25,"F25,F75",629
africa,bulwar_superregion,far_bulwar_region,avamezan_area,kutiriq,land,kutiriq,5a8c00,flatland,grasslands,continental,bulwari_sun_cult,zanite,cotton,,F25,"F25,F75",630
africa,bulwar_superregion,far_bulwar_region,eduz_vacyn_area,eduz-vacyn,land,eduz-vacyn,da8e40,flatland,grasslands,continental,bulwari_sun_cult,surani,incense,,F31,F31,631
africa,bulwar_superregion,far_bulwar_region,avamezan_area,erubas,land,erubas,5a9080,flatland,grasslands,continental,bulwari_sun_cult,zanite,gems,,F25,"F25,F75",632
africa,bulwar_superregion,far_bulwar_region,avamezan_area,anzarim_avamezan,land,anzarim_avamezan,da92c0,flatland,grasslands,continental,bulwari_sun_cult,zanite,livestock,,F25,"F25,F75",633
africa,bulwar_superregion,far_bulwar_region,eduz_vacyn_area,kufu,land,kufu,5a94ff,flatland,grasslands,continental,bulwari_sun_cult,surani,coffee,,F31,F31,634
africa,bulwar_superregion,far_bulwar_region,panuses_area,panubar,land,panubar,da9600,flatland,grasslands,continental,bulwari_sun_cult,surani,cotton,,F31,"F31,F87",635
africa,bulwar_superregion,far_bulwar_region,panuses_area,durklum,land,durklum,5a9840,flatland,grasslands,continental,bulwari_sun_cult,sun_elf,silk,,F29,"F25,F87",636
africa,bulwar_superregion,far_bulwar_region,panuses_area,utlazna,land,utlazna,db9a80,flatland,grasslands,continental,bulwari_sun_cult,surani,wheat,,F29,"F25,F87",637
africa,bulwar_superregion,far_bulwar_region,upper_suran_area,asranaz,land,asranaz,5b9cc0,flatland,grasslands,continental,xhazobkult,sandfang_gnoll,livestock,,F29,F45,638
africa,bulwar_superregion,far_bulwar_region,upper_suran_area,panu_zankumar,land,panu_zankumar,db9eff,flatland,grasslands,continental,bulwari_sun_cult,surani,wheat,,F29,F45,639
africa,bulwar_superregion,far_bulwar_region,upper_suran_area,hasr,land,hasr,5b2000,flatland,grasslands,continental,bulwari_sun_cult,surani,wheat,,F29,F45,640
africa,bulwar_superregion,far_bulwar_region,upper_suran_area,anzarim_suran,land,anzarim_suran,db2240,flatland,grasslands,continental,bulwari_sun_cult,surani,wheat,,F29,F45,641
africa,bulwar_superregion,far_bulwar_region,azka_sur_area,sardazar,land,sardazar,5b2480,flatland,grasslands,continental,bulwari_sun_cult,surani,wheat,,U20,U20,642
africa,bulwar_superregion,far_bulwar_region,azka_sur_area,azka-sur,land,azka-sur,db26c0,flatland,grasslands,continental,bulwari_sun_cult,sun_elf,coffee,,U20,U20,643
africa,bulwar_superregion,far_bulwar_region,azka_sur_area,saranaz,land,saranaz,5c28ff,flatland,grasslands,continental,bulwari_sun_cult,surani,livestock,,U20,U20,644
africa,bulwar_superregion,far_bulwar_region,grixek_area,nabilsu,land,nabilsu,dc2a00,flatland,grasslands,continental,xhazobkult,sandfang_gnoll,wool,,F29,"F29,F92",645
africa,bulwar_superregion,far_bulwar_region,grixek_area,xharnax,land,xharnax,5c2c40,flatland,grasslands,continental,xhazobkult,sandfang_gnoll,wool,,F29,"F29,F92",646
africa,bulwar_superregion,far_bulwar_region,azka_sur_area,sarsad,land,sarsad,dc2e80,flatland,grasslands,continental,bulwari_sun_cult,surani,wool,,U20,U20,647
africa,bulwar_superregion,far_bulwar_region,grixek_area,irrkornaz,land,irrkornaz,5c30c0,flatland,grasslands,continental,xhazobkult,sandfang_gnoll,wool,,F29,"F29,F92",648
africa,bulwar_superregion,harpy_hills_region,elusadul_area,daqelum,land,daqelum,dc32ff,flatland,grasslands,continental,goblinic_shamanism,exodus_goblin,wool,,U13,"U13,F22",649
africa,bulwar_superregion,harpy_hills_region,elusadul_area,azkasad,land,azkasad,5c3400,flatland,grasslands,continental,goblinic_shamanism,exodus_goblin,iron,,U13,"U13,F22",650
africa,bulwar_superregion,harpy_hills_region,kuzak_area,kuzak,land,kuzak,dd3640,flatland,grasslands,continental,old_bulwari_sun_cult,kuzarami,copper,,F22,F22,651
africa,bulwar_superregion,harpy_hills_region,elusadul_area,akurmbag,land,akurmbag,5d3880,flatland,grasslands,continental,goblinic_shamanism,exodus_goblin,wool,,U13,"U13,F22,F26",652
africa,bulwar_superregion,harpy_hills_region,lawassar_area,kihayanbar,land,kihayanbar,dd3ac0,flatland,grasslands,continental,bulwari_sun_cult,gelkar,wool,,F26,"F26,F88",653
africa,bulwar_superregion,harpy_hills_region,elusadul_area,elusadul,land,elusadul,5d3cff,flatland,grasslands,continental,bulwari_sun_cult,gelkar,iron,,U13,"U13,F22,F26",654
africa,bulwar_superregion,harpy_hills_region,lawassar_area,lawassar,land,lawassar,dd3e00,flatland,grasslands,continental,bulwari_sun_cult,gelkar,iron,,F26,"F26,F88",655
africa,bulwar_superregion,harpy_hills_region,lawassar_area,peruskam,land,peruskam,5d4040,flatland,grasslands,continental,bulwari_sun_cult,gelkar,gems,,F26,"F26,F88",656
africa,bulwar_superregion,harpy_hills_region,kuzak_area,magair-ten-mar,land,magair-ten-mar,dd4280,flatland,grasslands,continental,old_bulwari_sun_cult,kuzarami,pepper,,F22,F22,657
africa,bulwar_superregion,harpy_hills_region,kuzak_area,garlas-kel,land,garlas-kel,5e44c0,flatland,grasslands,continental,old_bulwari_sun_cult,kuzarami,salt,,F22,F22,658
africa,bulwar_superregion,harpy_hills_region,siffiraeri_area,haqharias,land,haqharias,de46ff,flatland,grasslands,continental,the_hunt,firanyan_harpy,wool,,F81,F81,659
africa,bulwar_superregion,harpy_hills_region,siffiraeri_area,heunthume,land,heunthume,5e4800,flatland,grasslands,continental,the_hunt,firanyan_harpy,wool,,F27,F27,660
africa,bulwar_superregion,harpy_hills_region,siffiraeri_area,hydiranyalen,land,hydiranyalen,de4a40,flatland,grasslands,continental,the_hunt,firanyan_harpy,iron,,F81,F81,661
africa,bulwar_superregion,harpy_hills_region,siffiraeri_area,setufiraor,land,setufiraor,5e4c80,flatland,grasslands,continental,the_hunt,firanyan_harpy,iron,,F81,F81,662
africa,bulwar_superregion,harpy_hills_region,siffiraeri_area,lysinyalen,land,lysinyalen,de4ec0,flatland,grasslands,continental,the_hunt,firanyan_harpy,cotton,,F27,F27,663
africa,bulwar_superregion,harpy_hills_region,gelkalis_area,as-mis,land,as-mis,5e50ff,flatland,grasslands,continental,bulwari_sun_cult,gelkar,wool,,F26,F26,664
africa,bulwar_superregion,harpy_hills_region,gelkalis_area,gelkalis,land,gelkalis,df5200,flatland,grasslands,continental,bulwari_sun_cult,gelkar,unknown,,F26,F26,665
africa,bulwar_superregion,harpy_hills_region,kharfiraeri_area,ayarallen,land,ayarallen,5f5440,flatland,grasslands,continental,the_hunt,firanyan_harpy,cotton,,F27,F27,666
africa,bulwar_superregion,harpy_hills_region,kharfiraeri_area,arnilqan,land,arnilqan,df5680,flatland,grasslands,continental,the_hunt,firanyan_harpy,copper,,F27,F27,667
africa,bulwar_superregion,harpy_hills_region,kharfiraeri_area,hranapas,land,hranapas,5f58c0,flatland,grasslands,continental,bulwari_sun_cult,gelkar,livestock,,F27,"F27,F26,F89",668
africa,bulwar_superregion,harpy_hills_region,kharfiraeri_area,elisan,land,elisan,df5aff,flatland,grasslands,continental,bulwari_sun_cult,gelkar,wool,,F27,"F27,F26,F89",669
africa,bulwar_superregion,harpy_hills_region,nansalen_area,nansalen,land,nansalen,5f5c00,flatland,grasslands,continental,bulwari_sun_cult,firanyan_harpy,livestock,,F80,F80,670
africa,bulwar_superregion,harpy_hills_region,kharfiraeri_area,arkasul,land,arkasul,df5e40,flatland,grasslands,continental,bulwari_sun_cult,gelkar,incense,,F27,"F27,F26,F89",671
africa,bulwar_superregion,harpy_hills_region,misharallen_area,mionfo,land,mionfo,606080,flatland,grasslands,continental,the_hunt,firanyan_harpy,wool,,F27,"F27,F90",672
africa,bulwar_superregion,harpy_hills_region,misharallen_area,misarallen,land,misarallen,e062c0,flatland,grasslands,continental,the_hunt,firanyan_harpy,wool,,F27,"F27,F90",673
africa,bulwar_superregion,harpy_hills_region,misharallen_area,mynaurame,land,mynaurame,6064ff,flatland,grasslands,continental,the_hunt,firanyan_harpy,wheat,,F27,"F27,F90",674
africa,bulwar_superregion,harpy_hills_region,firanyalen_area,qarvetarqan,land,qarvetarqan,e06600,flatland,grasslands,continental,the_hunt,firanyan_harpy,wheat,,F27,"F27,F82",675
