capital_continent,capital_superregion,tag,name,capital,court_language,culture_definition,religion_definition,accepted_cultures,tolerated_cultures,templates,color
europe,western_cannor_superregion,A36,Derwing,derwing,arbarani_dialect,arbarani,regent_court,,,,"(164, 143, 192)"
europe,western_cannor_superregion,A37,Terr,terr,esmari_dialect,esmari,regent_court,,,,"(171, 122, 64)"
europe,western_cannor_superregion,A38,Anbenncost,anbenncost,anbenncoster_dialect,anbenncoster,regent_court,,,,"(95, 178, 186)"
europe,western_cannor_superregion,A39,Bennon,bennon,esmari_dialect,esmari,regent_court,,,,"(91, 122, 169)"
europe,western_cannor_superregion,A40,Exwes,exwes,exwesser_dialect,exwesser,regent_court,,,,"(125, 182, 192)"
europe,western_cannor_superregion,A41,Damish Temple,moonmount,east_damerian_dialect,east_damerian,regent_court,,,,"(127, 191, 255)"
europe,western_cannor_superregion,A42,Silvelar,silvelar,east_damerian_dialect,east_damerian,regent_court,,,,"(199, 199, 199)"
europe,western_cannor_superregion,A43,Ryalan Temple,ryalanar,esmari_dialect,esmari,regent_court,,,,"(233, 233, 233)"
europe,western_cannor_superregion,A44,Esmaraine,esmaraine,esmari_dialect,esmari,regent_court,,,,"(203, 133, 72)"
europe,western_cannor_superregion,A45,Istralore,istralore,half_elf_dialect,half_elf,regent_court,,,,"(148, 201, 199)"
europe,western_cannor_superregion,A46,Arbaran,arbaran,half_elf_dialect,half_elf,regent_court,,,,"(135, 166, 165)"
europe,western_cannor_superregion,A47,Eborthil,eborthil,tefori_dialect,tefori,regent_court,,,,"(207, 182, 100)"
europe,western_cannor_superregion,A48,Sugamber,rhinmond,wexonard_dialect,wexonard,regent_court,,,,"(70, 90, 190)"
europe,western_cannor_superregion,A49,Xanzerbexis,lokkex_heights,hill_gnoll_dialect,hill_gnoll,xhazobkult,,,,"(185, 122, 87)"
europe,western_cannor_superregion,A50,Greatmarch,greatmarches,old_alenic_dialect,old_alenic,regent_court,,,,"(82, 130, 152)"
europe,western_cannor_superregion,A51,Ginnfield,ginnfield,gawedi_dialect,gawedi,regent_court,,,,"(177, 177, 177)"
europe,western_cannor_superregion,A52,Eaglecrest,eaglecrest,gawedi_dialect,gawedi,regent_court,,,,"(137, 159, 250)"
europe,western_cannor_superregion,A53,Aramari Temple,aramar,crownsman_dialect,crownsman,regent_court,,,,"(255, 201, 15)"
europe,western_cannor_superregion,A54,Crothan,crothan,crownsman_dialect,crownsman,regent_court,,,,"(38, 156, 162)"
europe,western_cannor_superregion,A55,Menibor,menibor,vernman_dialect,vernman,regent_court,,,,"(230, 230, 50)"
europe,western_cannor_superregion,A56,Celliande,sorncell,arannese_dialect,arannese,regent_court,,,,"(68, 122, 13)"
europe,western_cannor_superregion,A57,Toarnen,aiscestir,arannese_dialect,arannese,regent_court,,,,"(189, 111, 57)"
europe,western_cannor_superregion,A58,Dameria,damesear,east_damerian_dialect,east_damerian,regent_court,,,,"(0, 165, 187)"
europe,escann_superregion,A59,Corvuria,arca_corvur,corvurian_dialect,corvurian,regent_court,,,,"(120, 120, 120)"
europe,western_cannor_superregion,A60,Asheniande,ashfield,arannese_dialect,arannese,regent_court,,,,"(69, 69, 69)"
europe,western_cannor_superregion,A61,Bluehart,bluehart,east_damerian_dialect,east_damerian,regent_court,,,,"(50, 80, 225)"
europe,western_cannor_superregion,A62,Telgeir,telgeir,esmari_dialect,esmari,regent_court,,,,"(117, 134, 143)"
europe,western_cannor_superregion,A63,Cowskeep,cowskeep,bluefoot_halfling_dialect,bluefoot_halfling,regent_court,,,,"(88, 88, 88)"
europe,western_cannor_superregion,A64,Appleton,appleton,redfoot_halfling_dialect,redfoot_halfling,regent_court,,,,"(209, 0, 54)"
europe,western_cannor_superregion,A65,Pearview,pearview,bluefoot_halfling_dialect,bluefoot_halfling,regent_court,,,,"(226, 224, 106)"
europe,western_cannor_superregion,A66,Butterburn,butterburn,bluefoot_halfling_dialect,bluefoot_halfling,regent_court,,,,"(232, 220, 162)"
europe,western_cannor_superregion,A67,Bigwheat,bigwheat,redfoot_halfling_dialect,redfoot_halfling,regent_court,,,,"(209, 176, 72)"
europe,western_cannor_superregion,A68,Thomsbridge,thomsbridge,redfoot_halfling_dialect,redfoot_halfling,regent_court,,,,"(87, 170, 117)"
europe,western_cannor_superregion,A69,Coppertown,coppertown,redfoot_halfling_dialect,redfoot_halfling,regent_court,,,,"(196, 75, 11)"
europe,western_cannor_superregion,A70,Elkmarch,elkwood,bluefoot_halfling_dialect,bluefoot_halfling,regent_court,,,,"(41, 107, 66)"
europe,western_cannor_superregion,A71,Greymill,greymill,bluefoot_halfling_dialect,bluefoot_halfling,regent_court,,,,"(188, 188, 188)"
europe,western_cannor_superregion,A72,Arannen,arannen,arannese_dialect,arannese,regent_court,,,,"(31, 49, 138)"
europe,western_cannor_superregion,A73,Silverforge,anvilwright,silver_dwarf_dialect,silver_dwarf,regent_court,,,,"(177, 177, 177)"
europe,escann_superregion,A74,Nathalaire,nathalaire,nathalairey_dialect,nathalairey,regent_court,,,,"(66, 66, 66)"
europe,western_cannor_superregion,A75,Gisden,gisden,arannese_dialect,arannese,regent_court,,,,"(27, 170, 120)"
europe,western_cannor_superregion,A76,Uelaire,uelaire,uelairey_dialect,uelairey,regent_court,,,,"(103, 252, 204)"
europe,western_cannor_superregion,A77,Orda Aldresia,rotwall,aldresian_dialect,aldresian,regent_court,,,,"(50, 255, 255)"
europe,western_cannor_superregion,A78,Roilsard,roilsard,roilsardi_dialect,roilsardi,regent_court,,,,"(238, 13, 121)"
europe,western_cannor_superregion,A79,Gnomish Hierarchy,oddansbay,cliff_gnome_dialect,cliff_gnome,the_thought,,,,"(255, 105, 180)"
europe,western_cannor_superregion,A80,Iochand,iochand,iochander_dialect,iochander,regent_court,,,,"(147, 255, 114)"
europe,western_cannor_superregion,A81,Giberd,giberd,imperial_gnome_dialect,imperial_gnome,regent_court,,,,"(210, 62, 230)"
europe,western_cannor_superregion,A82,Napesbay,napesbay,vernman_dialect,vernman,regent_court,,,,"(220, 180, 150)"
europe,western_cannor_superregion,A83,Silent Repose,silent_repose,moon_elf_dialect,moon_elf,elven_forebears,,,,"(49, 159, 159)"
europe,western_cannor_superregion,A84,Galeinn,galeinn,vernman_dialect,vernman,regent_court,,,,"(248, 248, 248)"
europe,western_cannor_superregion,A85,Magisterium,old_damenath,east_damerian_dialect,east_damerian,regent_court,,,,"(222, 222, 222)"
europe,western_cannor_superregion,A86,Tellum,tellum,arannese_dialect,arannese,regent_court,,,,"(238, 136, 218)"
europe,western_cannor_superregion,A87,Saloren,saloren,roilsardi_dialect,roilsardi,regent_court,,,,"(240, 81, 53)"
europe,western_cannor_superregion,A88,Woodwell,woodwell,west_damerian_dialect,west_damerian,regent_court,,,,"(78, 154, 111)"
europe,western_cannor_superregion,A89,Aranmas,aranmas,crownsman_dialect,crownsman,regent_court,,,,"(126, 131, 206)"
europe,western_cannor_superregion,A90,Seinathil,seinathil,esmari_dialect,esmari,regent_court,,,,"(205, 69, 143)"
europe,western_cannor_superregion,A91,Deamoine,deamoine,esmari_dialect,esmari,regent_court,,,,"(151, 226, 178)"
europe,western_cannor_superregion,A92,Leslinpar,leslinpar,esmari_dialect,esmari,regent_court,,,,"(248, 240, 143)"
europe,western_cannor_superregion,A93,Estallen,estallen,esmari_dialect,esmari,regent_court,,,,"(185, 132, 164)"
europe,western_cannor_superregion,A94,Gabmorionn,gabmorionn,esmari_dialect,esmari,regent_court,,,,"(125, 178, 203)"
europe,western_cannor_superregion,A95,Themarenn,themarenn,esmari_dialect,esmari,regent_court,,,,"(82, 210, 232)"
europe,western_cannor_superregion,A96,Lasean,lasean,high_lorentish_dialect,high_lorentish,regent_court,,,,"(99, 35, 78)"
europe,western_cannor_superregion,A97,Small Country,thomsbridge,redfoot_halfling_dialect,redfoot_halfling,regent_court,,,,"(197, 138, 99)"
europe,western_cannor_superregion,A98,Cestirande,cestaire,east_damerian_dialect,east_damerian,regent_court,,,,"(38, 34, 98)"
europe,western_cannor_superregion,A99,Varaine,varaine,esmari_dialect,esmari,regent_court,,,,"(153, 194, 159)"
europe,escann_superregion,B01,Greentide,north_castonath,green_orc_dialect,green_orc,great_dookan,,,,"(82, 151, 32)"
europe,escann_superregion,B02,Corintar,ionntras,corintari_dialect,corintari,regent_court,,,,"(233, 82, 86)"
europe,escann_superregion,B03,Cobalt Company,cannwic,gawedi_dialect,gawedi,regent_court,,,,"(0, 71, 171)"
europe,escann_superregion,B04,Order of the Ashen Rose,bladeskeep,high_lorentish_dialect,high_lorentish,regent_court,,,,"(131, 52, 54)"
europe,escann_superregion,B05,Pioneers Guild,nortmerewic,east_damerian_dialect,east_damerian,regent_court,,,,"(209, 160, 107)"
europe,escann_superregion,B06,Warriors of Ancard,widor,west_damerian_dialect,west_damerian,regent_court,,,,"(226, 186, 165)"
europe,escann_superregion,B07,Sons of Dameria,tiltwick,east_damerian_dialect,east_damerian,regent_court,,,,"(82, 158, 181)"
europe,escann_superregion,B08,Gallant Friends,mereham,esmari_dialect,esmari,regent_court,,,,"(182, 196, 235)"
europe,escann_superregion,B09,House of Riches,turnmarket,crownsman_dialect,crownsman,regent_court,,,,"(226, 200, 107)"
europe,escann_superregion,B10,Small Fellows,aldaine,redfoot_halfling_dialect,redfoot_halfling,regent_court,,,,"(181, 106, 106)"
europe,western_cannor_superregion,B11,Company of the Thorn,tederfremh,roilsardi_dialect,roilsardi,regent_court,,,,"(136, 36, 3)"
europe,escann_superregion,B12,Brave Brothers,acenvror,vernman_dialect,vernman,regent_court,,,,"(246, 54, 3)"
europe,escann_superregion,B13,Stalwart Band,vernham,busilari_dialect,busilari,regent_court,,,,"(164, 145, 223)"
europe,escann_superregion,B14,Raven Banner,woodmarck,corvurian_dialect,corvurian,regent_court,,,,"(112, 112, 153)"
europe,escann_superregion,B15,New Wanderers,rohibon,korosheshi_dialect,korosheshi,elikhetist,,,,"(232, 118, 121)"
europe,western_cannor_superregion,B16,Freeflower Vanguard,freetower,wood_elf_dialect,wood_elf,elven_forebears,,,,"(77, 64, 157)"
serpentspine,west_serpentspine_superregion,B17,Asra Expedition,dwarovrod_1,silver_dwarf_dialect,silver_dwarf,regent_court,,,,"(143, 120, 28)"
europe,escann_superregion,B18,Iron Hammers,bradnath,stone_dwarf_dialect,stone_dwarf,regent_court,,,,"(217, 231, 232)"
europe,escann_superregion,B19,Sword Covenant,victors_path,aldresian_dialect,aldresian,regent_court,,,,"(168, 211, 244)"
europe,escann_superregion,B20,Order of the Iron Sceptre,theminath,aldresian_dialect,aldresian,regent_court,,,,"(35, 38, 40)"
europe,escann_superregion,B21,Heartgrinder Clan,pixiebury,green_orc_dialect,green_orc,great_dookan,,,,"(128, 128, 0)"
europe,escann_superregion,B22,Venomtooth Clan,venomfen,green_orc_dialect,green_orc,great_dookan,,,,"(114, 140, 0)"
europe,escann_superregion,B23,Rotcleaver Clan,esckerpost,green_orc_dialect,green_orc,great_dookan,,,,"(154, 205, 50)"
europe,escann_superregion,B24,Clouded Eye Clan,gulenhyl,green_orc_dialect,green_orc,great_dookan,,,,"(240, 255, 240)"
europe,escann_superregion,B25,Bladebreaker Clan,steelhyl,green_orc_dialect,green_orc,great_dookan,,,,"(73, 121, 107)"
europe,escann_superregion,B26,Severed Ear Clan,westgate,green_orc_dialect,green_orc,great_dookan,,,,"(0, 105, 62)"
europe,escann_superregion,B27,Bonecarver Clan,tencfor,green_orc_dialect,green_orc,great_dookan,,,,"(169, 186, 158)"
europe,escann_superregion,B28,Dogeater Clan,dogwood,green_orc_dialect,green_orc,great_dookan,,,,"(62, 180, 137)"
europe,escann_superregion,B29,Deadfang Clan,beastgrave,green_orc_dialect,green_orc,great_dookan,,,,"(54, 94, 59)"
europe,escann_superregion,B30,Bloodgorger Clan,elderlan,green_orc_dialect,green_orc,great_dookan,,,,"(80, 200, 120)"
europe,escann_superregion,B31,Castellyr,the_north_citadel,castellyrian_dialect,castellyrian,regent_court,,,,"(144, 144, 200)"
europe,escann_superregion,B32,Castanor,the_north_citadel,castanorian_dialect,castanorian,regent_court,,,,"(255, 255, 255)"
europe,escann_superregion,B33,Blademarches,bladeskeep,marcher_dialect,marcher,regent_court,,,,"(230, 216, 166)"
europe,western_cannor_superregion,B34,Luciande,tederfremh,luciander_dialect,luciander,regent_court,,,,"(136, 36, 9)"
europe,escann_superregion,B35,Ancardia,widor,ancardian_dialect,ancardian,regent_court,,,,"(226, 186, 165)"
europe,escann_superregion,B36,Marrhold,marrhold,marrodic_dialect,marrodic,regent_court,,,,"(157, 121, 115)"
europe,escann_superregion,B37,Rogieria,listfields,east_damerian_dialect,east_damerian,regent_court,,,,"(82, 158, 181)"
europe,western_cannor_superregion,B38,Elikhand,escin,korosheshi_dialect,korosheshi,regent_court,,,,"(232, 118, 121)"
europe,escann_superregion,B39,Wyvernheart,acenvror,vernman_dialect,vernman,regent_court,,,,"(246, 54, 3)"
europe,escann_superregion,B40,Alenor,taranton,gawedi_dialect,gawedi,regent_court,,,,"(0, 71, 171)"
europe,escann_superregion,B41,Earworm Tribe,catelsvord,common_goblin_dialect,common_goblin,goblinic_shamanism,,,,"(50, 25, 50)"
europe,escann_superregion,B42,Groundhawk Tribe,medirleigh,forest_goblin_dialect,forest_goblin,goblinic_shamanism,,,,"(100, 170, 30)"
europe,escann_superregion,B43,Flying Hound Tribe,godsescker,common_goblin_dialect,common_goblin,goblinic_shamanism,,,,"(170, 30, 100)"
europe,escann_superregion,B44,Flung Head Tribe,silverdocks,common_goblin_dialect,common_goblin,goblinic_shamanism,,,,"(30, 100, 170)"
europe,escann_superregion,B45,Headwearer Tribe,headmans_wood,common_goblin_dialect,common_goblin,goblinic_shamanism,,,,"(20, 100, 40)"
europe,escann_superregion,B46,Grasshopper Muncher Tribe,taranton,common_goblin_dialect,common_goblin,goblinic_shamanism,,,,"(145, 72, 131)"
europe,escann_superregion,B47,Stalbor,cantercurse,stalboric_dialect,stalboric,regent_court,,,,"(164, 145, 223)"
europe,escann_superregion,B48,Ravenmarch,banwick,corvurian_dialect,corvurian,regent_court,,,,"(59, 52, 72)"
europe,escann_superregion,B49,Araionn,halansar,crownsman_dialect,crownsman,regent_court,,,,"(226, 200, 107)"
europe,escann_superregion,B50,Newshire,horsemans_advance,redfoot_halfling_dialect,redfoot_halfling,regent_court,,,,"(181, 106, 106)"
europe,escann_superregion,B51,Estaire,rohibon,esmari_dialect,esmari,regent_court,,,,"(182, 196, 235)"
europe,escann_superregion,B52,Cael_Deinn,gallopsway,wood_elf_dialect,wood_elf,elven_forebears,,,,"(161, 42, 42)"
europe,escann_superregion,B53,Nurcestir,feldham,east_damerian_dialect,east_damerian,regent_court,,,,"(209, 160, 107)"
europe,escann_superregion,B54,Esthil,aldaine,aldresian_dialect,aldresian,regent_court,,,,"(35, 38, 40)"
europe,escann_superregion,B55,Counts League,oldhaven,castellyrian_dialect,castellyrian,regent_court,,,,"(100, 100, 100)"
europe,escann_superregion,B56,Silvermere,silvervord,merine_dialect,merine,regent_court,,,,"(192, 192, 192)"
europe,escann_superregion,B57,Cardest,new_corveld,cardesti_dialect,cardesti,regent_court,,,,"(182, 131, 46)"
europe,escann_superregion,B58,Adenica,taranton,adenner_dialect,adenner,regent_court,,,,"(15, 117, 187)"
europe,western_cannor_superregion,B59,Pashaine,cestaire,pashainey_dialect,pashainey,regent_court,,,,"(130, 55, 140)"
europe,western_cannor_superregion,B60,Farranean,escin,farrani_half_elf_dialect,farrani_half_elf,regent_court,,,,"(160, 185, 85)"
europe,escann_superregion,B61,Edhardrachon Breakaway,the_north_citadel,castanorian_dialect,castanorian,regent_court,,,,"(192, 192, 192)"
europe,escann_superregion,B62,Moredhal,cannwic,moredhalic_dialect,moredhalic,corinite,,,,"(218, 165, 32)"
europe,gerudia_superregion,B63,Grudgeknights,redgarhavn,moredhalic_dialect,moredhalic,corinite,,,,"(139, 0, 0)"
europe,western_cannor_superregion,B64,Passionates,old_damenath,moredhalic_dialect,moredhalic,corinite,,,,"(0, 0, 139)"
europe,deepwoods_superregion,B65,Devotees,ciranmyna,moredhalic_dialect,moredhalic,corinite,,,,"(0, 139, 0)"
europe,western_cannor_superregion,B66,Havoral,bennon,havoric_dialect,havoric,regent_court,,,,"(127, 144, 168)"
europe,western_cannor_superregion,B67,Honderaak,countsbridge,hill_gnoll_dialect,hill_gnoll,regent_court,,,,"(189, 171, 212)"
europe,western_cannor_superregion,B68,Kyliande,kyliande,high_lorentish_dialect,high_lorentish,regent_court,,,,"(67, 82, 154)"
europe,western_cannor_superregion,B69,Crovania,crovans_rest,low_lorentish_dialect,low_lorentish,regent_court,,,,"(44, 89, 119)"
europe,western_cannor_superregion,B70,Ilvandet,ilvandet,west_damerian_dialect,west_damerian,regent_court,,,,"(75, 131, 60)"
europe,western_cannor_superregion,B71,Southroy,southroy,low_lorentish_dialect,low_lorentish,regent_court,,,,"(70, 150, 217)"
europe,western_cannor_superregion,B72,Ionnidar,ionnidar,high_lorentish_dialect,high_lorentish,regent_court,,,,"(135, 78, 148)"
europe,western_cannor_superregion,B73,Darom,daromsfort,low_lorentish_dialect,low_lorentish,regent_court,,,,"(130, 35, 200)"
europe,western_cannor_superregion,B74,Wesmar,wesmar,low_lorentish_dialect,low_lorentish,regent_court,,,,"(170, 120, 110)"
europe,western_cannor_superregion,B75,Ainethan,ainethan,high_lorentish_dialect,high_lorentish,regent_court,,,,"(225, 179, 70)"
europe,western_cannor_superregion,B76,Horsegarden,horsegarden,low_lorentish_dialect,low_lorentish,regent_court,,,,"(210, 130, 165)"
europe,western_cannor_superregion,B77,Saddleglade,horsegarden,low_lorentish_dialect,low_lorentish,regent_court,,,,"(130, 50, 50)"
europe,western_cannor_superregion,B78,Carneter,carneter,carnetori_dialect,carnetori,regent_court,,,,"(49, 143, 75)"
,,B79,Jazhkredu,,common_goblin_dialect,common_goblin,goblinic_shamanism,,,,"(49, 63, 0)"
europe,western_cannor_superregion,B80,Windtower,windtower,west_damerian_dialect,west_damerian,regent_court,,,,"(85, 220, 160)"
europe,western_cannor_superregion,B81,Hortosare,stonehold,busilari_dialect,busilari,regent_court,,,,"(141, 36, 28)"
europe,deepwoods_superregion,B82,Petalmasher,anbennar7016,forest_goblin_dialect,forest_goblin,pactseeker,,,,"(158, 178, 139)"
europe,western_cannor_superregion,B83,Gerwick,gerwick,gawedi_dialect,gawedi,regent_court,,,,"(182, 147, 64)"
europe,western_cannor_superregion,B84,Westmounts,wightsgate,gawedi_dialect,gawedi,regent_court,,,,"(23, 107, 206)"
europe,western_cannor_superregion,B85,Varlosen,mugalleán,arannese_dialect,arannese,regent_court,,,,"(100, 50, 50)"
europe,western_cannor_superregion,B86,Havorton,havorton,esmari_dialect,esmari,regent_court,,,,"(60, 120, 165)"
europe,western_cannor_superregion,B87,Byshade,byshade,east_damerian_dialect,east_damerian,regent_court,,,,"(50, 5, 65)"
europe,western_cannor_superregion,B88,Cannleigh,cannleigh,east_damerian_dialect,east_damerian,regent_court,,,,"(250, 225, 100)"
europe,western_cannor_superregion,B89,Eastbright,eastbright,east_damerian_dialect,east_damerian,regent_court,,,,"(125, 225, 225)"
europe,western_cannor_superregion,B90,Elensbridge,elensbridge,east_damerian_dialect,east_damerian,regent_court,,,,"(200, 70, 70)"
europe,western_cannor_superregion,B91,Thanallen,thanallen,east_damerian_dialect,east_damerian,regent_court,,,,"(50, 150, 15)"
europe,western_cannor_superregion,B92,Esmaryan Temple,esmaraine,esmari_dialect,esmari,regent_court,,,,"(195, 160, 135)"
europe,western_cannor_superregion,B93,Ildumar,lions_pass,busilari_dialect,busilari,regent_court,,,,"(250, 164, 1)"
europe,western_cannor_superregion,B94,Milcorissia,varlosen,arannese_dialect,arannese,regent_court,,,,"(251, 255, 227)"
europe,escann_superregion,B95,Uanced,uanced,estairey_dialect,estairey,regent_court,,,,"(21, 88, 27)"
europe,western_cannor_superregion,B96,Salceran,arannen,arannese_dialect,arannese,regent_court,,,,"(85, 117, 186)"
europe,escann_superregion,B97,Ravenhill,ravenhill,corvurian_dialect,corvurian,regent_court,,,,"(79, 0, 20)"
europe,gerudia_superregion,B98,The Reach,ordal,blue_reachman_dialect,blue_reachman,regent_court,,,,"(65, 100, 150)"
europe,western_cannor_superregion,B99,Aranthil,aranthil,east_damerian_dialect,east_damerian,regent_court,,,,"(125, 145, 160)"
africa,bulwar_superregion,F21,Birsartanses,birsartansbar,sun_elf_dialect,sun_elf,bulwari_sun_cult,,,,"(207, 98, 173)"
africa,bulwar_superregion,F22,Dartaxagerdim,akal-uak,bahari_dialect,bahari,old_bulwari_sun_cult,,,,"(73, 198, 52)"
africa,bulwar_superregion,F23,Ovdal Tungr,ovdal_tungr,copper_dwarf_dialect,copper_dwarf,ancestor_worship,,,,"(204, 117, 21)"
africa,bulwar_superregion,F24,Brasan,brasan,brasanni_dialect,brasanni,bulwari_sun_cult,,,,"(205, 233, 232)"
africa,bulwar_superregion,F25,Sareyand,sareyand,sun_elf_dialect,sun_elf,bulwari_sun_cult,,,,"(69, 69, 69)"
africa,bulwar_superregion,F26,Gelkalis,gelkalis,gelkar_dialect,gelkar,bulwari_sun_cult,,,,"(54, 184, 198)"
africa,bulwar_superregion,F27,Ayarallen,ayarallen,firanyan_harpy_dialect,firanyan_harpy,the_hunt,,,,"(200, 169, 168)"
africa,bulwar_superregion,F28,Tluukt,anzakalis,sandfang_gnoll_dialect,sandfang_gnoll,xhazobkult,,,,"(148, 122, 74)"
africa,bulwar_superregion,F29,Zokka,ilzin_zokka,sandfang_gnoll_dialect,sandfang_gnoll,xhazobkult,,,,"(171, 165, 150)"
africa,bulwar_superregion,F30,Kumarkand,kumarkand,zanite_dialect,zanite,bulwari_sun_cult,,,,"(49, 125, 14)"
africa,bulwar_superregion,F31,Eduz-Vacyn,eduz-vacyn,surani_dialect,surani,bulwari_sun_cult,,,,"(113, 232, 24)"
africa,bulwar_superregion,F32,Drolakand,drolas_tip,brasanni_dialect,brasanni,bulwari_sun_cult,,,,"(153, 3, 48)"
africa,bulwar_superregion,F33,Akalses,akalses,zanite_dialect,zanite,bulwari_sun_cult,,,,"(71, 89, 149)"
africa,bulwar_superregion,F34,Azka-Evran,azka-evran,sun_elf_dialect,sun_elf,bulwari_sun_cult,,,,"(47, 220, 169)"
africa,bulwar_superregion,F35,Azkabar,azkabar,zanite_dialect,zanite,bulwari_sun_cult,,,,"(194, 254, 117)"
africa,bulwar_superregion,F36,Harklum,harklum,zanite_dialect,zanite,bulwari_sun_cult,,,,"(155, 158, 26)"
africa,bulwar_superregion,F37,Irrliam,medurubar,sun_elf_dialect,sun_elf,bulwari_sun_cult,,,,"(242, 206, 61)"
africa,bulwar_superregion,F38,Phoenix Empire,bulwar,sun_elf_dialect,sun_elf,bulwari_sun_cult,,,,"(227, 177, 52)"
africa,bulwar_superregion,F39,Bulwar,bulwar,zanite_dialect,zanite,bulwari_sun_cult,,,,"(213, 98, 117)"
africa,bulwar_superregion,F40,Anzabad,anzabad,brasanni_dialect,brasanni,bulwari_sun_cult,,,,"(19, 62, 234)"
