tag_continent,tag_superregion,tag,character_tag,first_name,nickname,culture,religion,adm,dip,mil,birth_date,death_date,birth_place,ruler_traits,dynasty,female,ruler_term_start,ruler_term_end,regnal_number
europe,western_cannor_superregion,A35,A35_henric_2,henric,,esmari,regent_court,48,0,0,1406.11.16,,konwell,,konwell,,1439.9.4,,2.0
europe,western_cannor_superregion,A36,A36_lain_2,lain,,arbarani,regent_court,32,48,0,1431.5.12,,derwing,,derwing,,1433.6.16,,2.0
europe,western_cannor_superregion,A37,A37_regency,regency,for_petran_iv_sil_terr,esmari,regent_court,32,64,16,1.1.1,,terr,,unknown_dynasty,,1423.1.1,,
europe,western_cannor_superregion,A38,A38_awen,awen,,anbenncoster,regent_court,32,32,64,1406.4.10,,anbenncost,,of_earshore,,1444.10.4,,
europe,western_cannor_superregion,A39,A39_aldres_3,aldres,,esmari,regent_court,32,64,96,1411.4.11,,bennon,,sil_bennon,,1422.2.4,,3.0
europe,western_cannor_superregion,A40,A40_godric_2,godric,,exwesser,regent_court,32,64,96,1381.8.12,,exwes,,silcalas,,1437.3.7,,2.0
europe,western_cannor_superregion,A41,A41_calas,calas,sina_arb,east_damerian,regent_court,48,0,16,1380.1.7,,moonmount,,unknown_dynasty,,1404.1.1,,
europe,western_cannor_superregion,A42,A42_varil,varil,,east_damerian,regent_court,64,96,0,1416.3.15,,silvelar,,sil_obaithuan,,1440.1.1,,
europe,western_cannor_superregion,A43,A43_adala,adala,of_estallen,esmari,regent_court,48,0,16,1355.1.1,,ryalanar,,unknown_dynasty,yes,1393.1.1,,
europe,western_cannor_superregion,A44,A44_nara,nara,,esmari,regent_court,48,96,0,1398.1.30,,esmaraine,,seinpirartharn,yes,1440.1.1,,
europe,western_cannor_superregion,A45,A45_aucanna_1,aucanna,,east_damerian,regent_court,16,16,80,1423.6.20,,istralore,,silistra,yes,1436.2.3,,1.0
europe,western_cannor_superregion,A46,A46_ricard_1,ricard,,arbarani,regent_court,64,32,48,1400.3.23,,arbaran,,silcalas,,1426.2.3,,1.0
europe,western_cannor_superregion,A47,A47_delian_2,delian,,tefori,regent_court,64,64,64,1398.6.20,,eborthil,,silebor,,1402.6.1,,2.0
europe,western_cannor_superregion,A48,A48_ewald_2,ewald,,wexonard,regent_court,48,64,80,1394.8.7,,rhinmond,,sil_rhinmond,,1422.1.1,,2.0
europe,western_cannor_superregion,A49,A49_xanzerbexis,xanzerbexis,,hill_gnoll,xhazobkult,32,80,80,1415.11.4,,lokkex_heights,,queen-of-the-hill,yes,1442.3.17,,
europe,western_cannor_superregion,A53,A53_marion,marion,the_transmuter,crownsman,regent_court,96,0,0,1376.9.3,,aramar,,unknown_dynasty,,1437.3.1,,
europe,western_cannor_superregion,A54,A54_alain,alain,,crownsman,regent_court,48,16,16,1392.2.21,,crothan,,sil_miosadh_,,1440.1.1,,
europe,western_cannor_superregion,A55,A55_rogier,rogier,,vernman,regent_court,48,48,48,1386.12.29,,menibor,,of_oldtower,,1440.1.1,,
europe,western_cannor_superregion,A56,A56_alain_2,alain,,arannese,regent_court,48,64,16,1415.2.28,,sorncell,,sil_antirhalan,,1441.2.3,,2.0
europe,western_cannor_superregion,A57,A57_valeran,valeran,,arannese,regent_court,64,80,32,1325.9.24,1355.1.1,aiscestir,,sil_arannen,,1339.1.1,1355.1.1,
europe,western_cannor_superregion,A57,A57_alann,alann,,arannese,regent_court,32,32,64,1325.9.24,1358.1.1,aiscestir,,sil_na_loop,,1355.1.1,1358.1.1,
europe,western_cannor_superregion,A57,A57_rean,rean,,arannese,regent_court,64,48,16,1327.2.21,1372.1.1,aiscestir,,sil_na_loop,,1358.1.1,1372.1.1,
europe,western_cannor_superregion,A57,A57_varil,varil,,arannese,regent_court,16,16,48,1342.6.27,1383.1.1,aiscestir,,sil_na_loop,,1372.1.1,1383.1.1,
europe,western_cannor_superregion,A57,A57_emil,emil,,arannese,regent_court,32,16,80,1363.4.15,1422.1.1,aiscestir,,sil_na_loop,,1383.1.1,1422.1.1,
europe,western_cannor_superregion,A57,A57_adelaide,adelaide,,arannese,regent_court,48,16,48,1410.7.2,,aiscestir,,sil_na_loop,yes,1422.1.1,,
europe,western_cannor_superregion,A58,A58_adenn,adenn,skylance,east_damerian,regent_court,80,32,80,1377.3.1,1443.4.11,damesear,,silmuna,,1422.3.5,1443.4.11,
europe,escann_superregion,A59,A59_davan_2,davan,,corvurian,regent_court,32,32,64,1400.12.2,,arca_corvur,,sil_vivin,,1435.3.8,,2.0
europe,western_cannor_superregion,A60,A60_valeran_3,valeran,,arannese,regent_court,32,32,64,1427.9.5,,ashfield,,sil_vivin,,1441.2.3,,3.0
europe,western_cannor_superregion,A61,A61_trian,trian,,east_damerian,regent_court,0,48,0,1421.11.13,,bluehart,,sil_piraire,,1440.1.1,,
europe,western_cannor_superregion,A62,A62_artus_2,artus,,esmari,regent_court,64,64,48,1402.6.2,,telgeir,,of_vanbury,,1422.2.3,,2.0
europe,western_cannor_superregion,A63,A63_willam,willam,of_cowskeep,bluefoot_halfling,regent_court,48,16,16,1399.12.12,,cowskeep,,unknown_dynasty,,1440.2.2,,
europe,western_cannor_superregion,A64,A64_conrad_5,conrad,,redfoot_halfling,regent_court,48,48,48,1421.9.3,,appleton,,appleseed,,1440.2.2,,5.0
europe,western_cannor_superregion,A65,A65_roderic_2,roderic,,bluefoot_halfling,regent_court,32,64,32,1423.9.3,,pearview,,peartree,,1440.2.2,,2.0
europe,western_cannor_superregion,A72,A72_ostan_6,ostan,,arannese,regent_court,64,64,48,1417.4.3,,arannen,,sil_arannen,,1422.3.5,,6.0
europe,western_cannor_superregion,A73,A73_foldan_3,foldan,,silver_dwarf,regent_court,64,32,32,1379.1.3,,anvilwright,,silverhammer,,1425.2.23,,3.0
europe,escann_superregion,A74,A74_adeline,adeline,sil_na_pir_ceirese,nathalairey,regent_court,64,0,96,1414.6.11,,nathalaire,,unknown_dynasty,yes,1440.1.1,,
europe,western_cannor_superregion,A75,A75_benar_5,benar,,arannese,regent_court,0,32,16,1428.1.6,,gisden,,of_gisden,,1439.5.2,,5.0
europe,western_cannor_superregion,A76,A76_casten_3,casten,,uelairey,regent_court,32,64,96,1401.3.11,,uelaire,,sil_uelaire,,1406.2.6,,3.0
europe,western_cannor_superregion,A77,A77_delian,delian,,aldresian,regent_court,48,16,16,1378.3.11,,rotwall,,sil_arannen,,1400.1.1,,
europe,western_cannor_superregion,A81,A81_delda,delda,,imperial_gnome,regent_court,80,80,48,1353.9.21,,giberd,,glibgear,yes,1399.1.1,,
europe,western_cannor_superregion,A82,A82_vincenio,vincenio,,vernman,regent_court,96,64,32,1403.5.12,,napesbay,,sil_cunaicaire,,1440.1.1,,
europe,western_cannor_superregion,A83,A83_orsander,orsander,,moon_elf,elven_forebears,48,48,0,1325.9.5,,silent_repose,,ta'nadostoiar,,1350.1.1,,
europe,western_cannor_superregion,A84,A84_adrien_6,adrien,,vernman,regent_court,48,16,32,1412.11.11,,galeinn,,sil_galeinn,,1421.4.7,,6.0
europe,western_cannor_superregion,A85,A85_crovan,crovan,,wexonard,regent_court,32,64,80,1386.4.12,,old_damenath,,of_vinerick,,1419.9.1,,
europe,western_cannor_superregion,A86,A86_teagan,teagan,,arannese,regent_court,96,96,96,1405.5.5,,tellum,,sil_na_til,yes,1440.1.1,,
europe,western_cannor_superregion,A87,A87_caylen,caylen,,roilsardi,regent_court,48,32,80,1428.7.3,,saloren,,sil_saloren,,1443.4.1,,
europe,western_cannor_superregion,A88,A88_humbert_6,humbert,,west_damerian,regent_court,16,0,16,1390.2.8,,woodwell,,woodwell,,1427.1.12,,6.0
europe,western_cannor_superregion,A89,A89_andrel_5,andrel,,crownsman,regent_court,16,48,16,1390.2.8,,aranmas,,sil_aranmas,,1427.1.12,,5.0
europe,western_cannor_superregion,A90,A90_daran_1,daran,,esmari,regent_court,0,48,48,1423.8.3,,seinathil,,silistra,,1440.1.12,,1.0
europe,western_cannor_superregion,A91,A91_vincen_2,vincen,,esmari,regent_court,16,80,0,1421.11.1,,deamoine,,sil_deamoine,,1440.1.12,,2.0
europe,western_cannor_superregion,A92,A92_brandon_3,brandon,,esmari,regent_court,64,48,16,1410.3.10,,leslinpar,,sil_leslinpar,,1440.1.12,,3.0
europe,western_cannor_superregion,A93,A93_lucian_6,lucian,,esmari,regent_court,48,48,48,1413.7.3,,estallen,,sil_estallen,,1438.1.5,,6.0
europe,western_cannor_superregion,A94,A94_isobel_1,isobel,,esmari,regent_court,48,80,16,1390.7.3,,gabmorionn,,sil_gabmorionn,yes,1419.5.9,,1.0
europe,western_cannor_superregion,A95,A95_vernell_3,vernell,,esmari,regent_court,64,32,32,1429.2.6,,themarenn,,sil_themarenn,,1440.5.3,,3.0
europe,western_cannor_superregion,A98,A98_vincen_2,vincen,,east_damerian,regent_court,48,64,96,1403.3.6,,cestaire,,sil_cestir,,1435.3.8,,2.0
europe,western_cannor_superregion,A99,A99_tomas_1,tomas,,esmari,regent_court,16,16,48,1421.3.1,,varaine,,sil_varaine,,1426.1.3,,1.0
europe,escann_superregion,B01,B01_korgus,korgus,,green_orc,great_dookan,48,48,96,1400.12.12,,north_castonath,,dookanson,,1421.1.1,,
europe,escann_superregion,B02,B02_lothane,lothane,'bluetusk',half_orc,regent_court,48,32,96,1425.3.3,,ionntras,,silmuna,,1444.11.11,,
europe,escann_superregion,B03,B03_gunther,gunther,,gawedi,regent_court,32,16,80,1387.3.8,,cannwic,,of_mossford,,1443.10.5,,
europe,escann_superregion,B04,B04_maugunia,maugunia,,high_lorentish,regent_court,48,48,80,1410.10.12,,bladeskeep,,of_ording,yes,1431.3.12,,
europe,escann_superregion,B05,B05_pondo,pondo,,imperial_gnome,regent_court,48,96,48,1190.8.22,1473.3.15,nortmerewic,,fussbolt,,1443.10.5,1473.3.15,
europe,escann_superregion,B06,B06_erela,erela,,west_damerian,regent_court,64,16,80,1399.5.23,,widor,,woodwell,yes,1438.3.10,,
europe,escann_superregion,B07,B07_rogier,rogier,,east_damerian,regent_court,48,16,80,1406.1.1,,tiltwick,,silmuna,,1443.11.4,,
europe,escann_superregion,B08,B08_maurise,maurise,,esmari,regent_court,32,48,16,1398.6.3,,mereham,,sil_varmas,,1443.6.27,,
europe,escann_superregion,B09,B09_rean,rean,sil_na_arasuil,crownsman,regent_court,96,64,32,1405.1.20,,turnmarket,,unknown_dynasty,,1438.3.10,,
europe,escann_superregion,B10,B10_dustin,dustin,,redfoot_halfling,regent_court,32,48,80,1373.5.16,,aldaine,,smallknight,,1431.3.12,,
europe,western_cannor_superregion,B11,B11_lucian,lucian,,roilsardi,regent_court,32,32,96,1417.11.4,,tederfremh,,sil_na_toars,,1443.2.2,,
europe,escann_superregion,B12,B12_cicera,cicera,'the_lionsbane',vernman,regent_court,64,32,64,1411.2.23,,acenvror,,sil_treunnaire,yes,1437.4.8,,
europe,escann_superregion,B13,B13_urion,urion,,busilari,regent_court,64,0,80,1400.7.3,,vernham,,davmor,,1443.7.19,,
europe,escann_superregion,B14,B14_jergan,jergan,,corvurian,regent_court,32,96,80,1405.12.3,,woodmarck,,of_corveld,,1441.5.9,,
europe,escann_superregion,B15,B15_entef,entef,,korosheshi,elikhetist,48,96,64,1405.12.3,,rohibon,,of_wibnuat,,1438.3.10,,
europe,western_cannor_superregion,B16,B16_daemir,daemir,,wood_elf,elven_forebears,48,80,32,1415.12.3,,freetower,,brighteyes,,1438.3.10,,
serpentspine,west_serpentspine_superregion,B17,B17_jarmun,jarmun,,agate_dwarf,regent_court,64,48,80,1290.11.4,,dwarovrod_1,,asra,,1442.3.17,,
europe,escann_superregion,B18,B18_kraig,kraig,,stone_dwarf,regent_court,80,16,48,1363.7.19,,bradnath,,balgarsblood,,1437.4.8,,
europe,escann_superregion,B19,B19_galinda,galinda,,farrani_half_elf,regent_court,96,32,64,1380.5.14,,victors_path,,sil_na_ean,yes,1438.3.10,,
europe,escann_superregion,B20,B20_aldred,aldred,,aldresian,regent_court,32,16,48,1405.8.11,,theminath,,sil_tchaveren,,1443.10.5,,
europe,escann_superregion,B21,B21_ghurad,ghurad,,green_orc,great_dookan,48,32,80,1402.8.11,,pixiebury,,heartgrinder,,1419.2.2,,
europe,escann_superregion,B22,B22_aadga,aadga,,green_orc,great_dookan,16,32,80,1400.12.1,,venomfen,,venomtooth,yes,1443.5.11,,
europe,escann_superregion,B23,B23_ugol,ugol,,green_orc,great_dookan,0,16,48,1410.1.14,,esckerpost,,rotcleaver,,1433.5.21,,
europe,escann_superregion,B24,B24_grama,grama,,green_orc,great_dookan,96,96,32,1368.4.19,,gulenhyl,,clouded_eye,yes,1390.12.3,,
europe,escann_superregion,B25,B25_varok,varok,,green_orc,great_dookan,64,48,96,1401.3.25,,steelhyl,,bladebreaker,,1444.11.11,,
europe,escann_superregion,B26,B26_garm,garm,,green_orc,great_dookan,80,32,64,1415.4.1,,westgate,,severed_ear,,1444.11.11,,
europe,escann_superregion,B27,B27_azukor,azukor,,green_orc,great_dookan,32,16,48,1414.5.3,,tencfor,,bonecarver,,1444.11.11,,
europe,escann_superregion,B28,B28_dush,dush,,green_orc,great_dookan,0,0,0,1420.11.16,,dogwood,,dogeater,,1438.2.15,,
europe,escann_superregion,B29,B29_brog,brog,,green_orc,great_dookan,80,32,48,1399.7.16,,beastgrave,,deadfang,,1444.11.11,,
europe,escann_superregion,B30,B30_gurzan,gurzan,,green_orc,great_dookan,64,64,64,1424.1.2,,elderlan,,bloodgorger,,1444.11.11,,
europe,escann_superregion,B32,B32_castan,castan,xxxvi_'dragonfriend',castanorian,regent_court,64,96,96,1.1.1,,the_north_citadel,,'castan',,474.1.1,,
europe,escann_superregion,B36,B36_gryf,gryf,vii_'the_old',marrodic,regent_court,32,0,16,1375.11.4,,marrhold,,marr,,1442.3.17,,
europe,escann_superregion,B39,B39_the,the,regent,vernman,regent_court,64,80,96,1530.4.1,,acenvror,,of_wyvernheart,,1550.11.11,,
europe,escann_superregion,B41,B41_pagfil,pagfil,,common_goblin,goblinic_shamanism,64,16,32,1413.12.13,,catelsvord,,earworm,,1441.5.9,,
europe,escann_superregion,B42,B42_jergel,jergel,,forest_goblin,goblinic_shamanism,48,48,48,1413.2.16,,medirleigh,,groundhawk,,1441.5.9,,
europe,escann_superregion,B43,B43_elgek,elgek,,common_goblin,goblinic_shamanism,16,80,48,1409.8.6,,godsescker,,flying_hound,,1441.5.9,,
europe,escann_superregion,B44,B44_gloxee,gloxee,,common_goblin,goblinic_shamanism,16,32,80,1421.9.12,,silverdocks,,flung_head,yes,1441.5.9,,
europe,escann_superregion,B45,B45_aminkle,aminkle,,common_goblin,goblinic_shamanism,32,96,96,1401.1.23,,headmans_wood,,headwearer,,1422.6.9,,
europe,escann_superregion,B46,B46_gramzik,gramzik,,common_goblin,goblinic_shamanism,64,48,64,1432.11.16,,taranton,,grasshopper_muncher,,1442.6.9,,
europe,escann_superregion,B55,B55_carleon_1,carleon,,castellyrian,regent_court,32,64,80,1391.4.7,,oldhaven,,blacktower,,1444.2.3,,1.0
europe,western_cannor_superregion,B68,B68_laurenne,laurenne,,high_lorentish,regent_court,80,48,32,1413.1.25,1492.6.8,kyliande,,sil_kyliande,yes,1428.10.9,1492.6.8,
europe,western_cannor_superregion,B71,B71_torwick,torwick,,creek_gnome,regent_court,80,16,32,1285.10.16,,southroy,,sil_southroy,,1442.3.17,,
europe,western_cannor_superregion,B72,B72_lisbet,lisbet,,high_lorentish,regent_court,32,64,32,1374.10.22,,ionnidar,,sil_ionnidar,yes,1409.4.23,,
europe,deepwoods_superregion,B82,B82_vox,vox,,forest_goblin,pactseeker,32,64,48,1415.10.15,,anbennar7016,,petalmasher,yes,1443.3.10,,
africa,bulwar_superregion,F21,F21_keladora_1,keladora,,sun_elf,bulwari_sun_cult,48,64,48,1391.7.3,,birsartansbar,,birzartanzuir,yes,1444.1.1,,1.0
africa,bulwar_superregion,F22,F22_dartaxes,dartaxes,,bahari,old_bulwari_sun_cult,48,96,80,1401.7.3,,akal-uak,,szel-farramaz,,1444.1.1,,
africa,bulwar_superregion,F23,F23_magni,magni,,copper_dwarf,ancestor_worship,48,80,48,1357.3.8,,ovdal_tungr,,azgheledbul,,1442.6.20,,
africa,bulwar_superregion,F24,F24_abdsakar,abdsakar,,brasanni,bulwari_sun_cult,64,32,16,1414.8.12,,brasan,,brasanistu,,1440.1.1,,
africa,bulwar_superregion,F25,F25_eledas_2,eledas,,sun_elf,bulwari_sun_cult,64,80,80,1019.1.1,1310.10.10,sareyand,,sarelzuir,,1163.1.1,1310.10.10,2.0
africa,bulwar_superregion,F25,F25_eledas_3,eledas,,sun_elf,bulwari_sun_cult,96,80,0,1252.12.3,,sareyand,,sarelzuir,,1310.10.10,,3.0
africa,bulwar_superregion,F26,F26_uman_1,uman,,gelkar,bulwari_sun_cult,48,64,32,1388.1.22,,gelkalis,,szal-gelsibir,,1403.3.12,,1.0
africa,bulwar_superregion,F27,F27_istara_1,istara,,firanyan_harpy,the_hunt,48,32,80,1393.5.4,,ayarallen,,ayarato,yes,1411.7.3,,1.0
africa,bulwar_superregion,F28,F28_tluukt,tluukt,,sandfang_gnoll,xhazobkult,64,16,64,1391.3.15,,anzakalis,,cleaver-of-realms,yes,1413.2.15,,
africa,bulwar_superregion,F29,F29_zokka,zokka,,sandfang_gnoll,xhazobkult,16,48,80,1407.9.2,,ilzin_zokka,,devourer-of-suns,,1435.6.12,,
africa,bulwar_superregion,F30,F30_serakh_2,serakh,,zanite,bulwari_sun_cult,32,16,16,1404.12.3,,kumarkand,,remmanu,,1425.1.1,,2.0
africa,bulwar_superregion,F31,F31_zaid,zaid,szel-vacyn,surani,bulwari_sun_cult,80,32,48,1387.12.3,,eduz-vacyn,,unknown_dynasty,,1443.1.1,,
africa,bulwar_superregion,F32,F32_araha_1,araha,,brasanni,bulwari_sun_cult,32,16,16,1420.11.1,,drolas_tip,,szel-drolas,yes,1434.1.1,,1.0
africa,bulwar_superregion,F33,F33_serim_2,serim,,zanite,bulwari_sun_cult,32,32,80,1384.3.12,,akalses,,araskaysit,,1396.8.4,,2.0
africa,bulwar_superregion,F34,F34_deggarion_1,deggarion,,sun_elf,bulwari_sun_cult,32,16,80,1341.3.12,,azka-evran,,evranzuir,,1439.1.1,,1.0
africa,bulwar_superregion,F35,F35_idris_6,idris,,zanite,bulwari_sun_cult,64,32,48,1416.7.28,,azkabar,,szel-attalu,,1434.7.14,,6.0
africa,bulwar_superregion,F36,F36_arask_6,arask,,zanite,bulwari_sun_cult,48,32,96,1417.9.14,,harklum,,szel-harklum,,1443.7.4,,6.0
africa,bulwar_superregion,F37,F37_taelarios_1,taelarios,,sun_elf,bulwari_sun_cult,32,80,32,1064.3.1,,medurubar,,irrliazuir,,1444.1.1,,1.0
africa,bulwar_superregion,F38,F38_jaherian_1,jaherian,,sun_elf,bulwari_sun_cult,96,96,96,791.1.1,1127.1.1,bulwar,,jahzuir,,1006.1.1,1127.1.1,1.0
africa,bulwar_superregion,F38,F38_jexis,jexis,,sun_elf,bulwari_sun_cult,32,32,80,1120.1.1,,bulwar,,jaherzuir,,1127.1.1,,
africa,bulwar_superregion,F39,F39_mardin,mardin,,zanite,bulwari_sun_cult,80,48,32,1398.10.1,,bulwar,,bilul-yulun,,1442.11.11,,
africa,bulwar_superregion,F40,F40_udish_1,udish,,brasanni,bulwari_sun_cult,0,80,48,1401.7.3,,anzabad,,szal-aban,,1435.1.1,,1.0
africa,bulwar_superregion,F41,F41_rajinrar_1,rajinrar,,zanite,bulwari_sun_cult,48,64,16,1421.7.7,,zanbar,,szel-zanbar,,1438.8.11,,1.0
africa,bulwar_superregion,F42,F42_karodir_1,karodir,,sun_elf,bulwari_sun_cult,32,16,64,1210.5.17,,traz_buranun,,varamzuir,,1375.1.1,,1.0
africa,bulwar_superregion,F43,F43_regency,regency,for_jareer_szal-barseen,sadnatu,bulwari_sun_cult,32,64,0,1.1.1,,zansap,,unknown_dynasty,,1443.6.29,,
africa,bulwar_superregion,F44,F44_qamara_1,qamara,,zanite,bulwari_sun_cult,32,64,64,1372.10.3,,kalib,,szel-azanerdu,yes,1417.1.4,,1.0
africa,bulwar_superregion,F46,F46_jaddar,jaddar,,desert_elf,the_jadd,48,96,80,1161.11.12,,ebbusubtu,,jexiszuir,,1310.2.1,,
serpentspine,west_serpentspine_superregion,F47,F47_urothr,urothr,,gold_dwarf,ancestor_worship,64,16,96,1392.3.15,,verkal_gulan,,of_the_gate,,1421.1.19,,
africa,bulwar_superregion,F48,F48_astarta,astarta,,siadunan_harpy,the_hunt,64,0,80,1391.12.1,,siadunaiun,,siaduno,yes,1444.1.1,,
africa,bulwar_superregion,F49,F49_jasiene,jasiene,,siadunan_harpy,the_jadd,64,96,32,1403.1.4,,larfira,,elaienno,yes,1437.7.3,,
africa,bulwar_superregion,F50,F50_kirija,kirija,,siadunan_harpy,the_hunt,32,48,80,1401.8.15,,mermigan,,mulo,yes,1411.7.3,,
africa,bulwar_superregion,F51,F51_jaddar,jaddar,,desert_elf,the_jadd,48,96,80,1161.1.11,,ebbusubtu,,jexiszuir,,1310.2.1,,
africa,bulwar_superregion,F54,F54_khazet,khazet,,fieldstalker_gnoll,xhazobkult,48,80,16,1414.8.12,,azka-szel-udam,,gifter-of-chains,yes,1439.2.1,,
africa,south_salahad_superregion,F55,F55_zykari,zykari,,fieldstalker_gnoll,xhazobkult,16,48,64,1414.8.12,,kogzalla,,gifter-of-chains,yes,1439.2.1,,
africa,bulwar_superregion,F56,F56_idras,idras,,maqeti,old_bulwari_sun_cult,80,48,16,1400.3.10,,dasmatus,,szal-maqet,,1430.3.10,,
africa,tanib_dajek_superregion,F60,F60_maracout,maracout,,tijarikheti,nirakhetist,64,96,48,1415.3.9,,samsumbat,,unknown_dynasty,,1433.1.10,,
africa,tanib_dajek_superregion,F61,F61_menes,menes,,tijarikheti,elikhetist,48,80,64,1413.9.4,,muhaqaar,,unknown_dynasty,,1433.1.10,,
africa,tanib_dajek_superregion,F62,F62_kenmu,kenmu,,tijarikheti,elikhetist,96,48,32,1408.9.4,,duwarkani,,menkaunswt,,1430.9.4,,
africa,tanib_dajek_superregion,F63,F63_duzar,duzar,,tijarikheti,aakhetist,48,48,80,1416.5.3,,aramoole,,unknown_dynasty,,1433.1.10,,
