LandProvince;SeaZone;x;y;
benirkes;ekhani_tip;7921;5334;x
habnits;ekhani_tip;7962;5258;x
sirspit;ekhani_tip;7970;5229;x
unrawu;tefkora_pass;8480;5378;x
khasa;khasa;8279;5354;x
ekha;ekha;7950;5421;x
rhamsopot;coast_of_deshak;8308;5360;x
mushesh;mushesh;8439;5389;x
khalur;khalur;8375;5346;x
bus_akasu;dog_coast;8034;5450;x
bhetu;ekhani_tip;7755;5302;x
irmathmas;gulf_of_stone;8657;5692;x
doveswall;gulf_of_stone;8680;5718;x
sorncell;gulf_of_stone;8701;5715;x
jorathur_fields;flooded_coast;8791;5799;x
new_corveld;flooded_coast;8837;5759;x
dostanesck;flooded_coast;8846;5741;x
nathalaire;flooded_coast;8805;5773;x
gemisle;flooded_coast;8811;5668;x
orispot;orispot;8558;5302;x
idatsmu;north_salahad_coast;8596;5238;x
xa_urum;xa_urum;8637;5238;x
rasusopot;north_salahad_coast;8762;5212;x
haat_komit;coast_of_kheterat;8852;5119;x
ponkhetat;coast_of_kheterat;8913;5087;x
koroshesh;coast_of_kheterat;8983;5098;x
hamatsopot;bay_of_paws;9085;5014;x
idatsay;bay_of_paws;9154;4996;x
buhurusopot;bay_of_paws;9181;5020;x
azka_jexis;bay_of_paws;9186;5075;x
rosutaaru;bay_of_paws;9204;5101;x
khetraz;sea_of_elizna;9274;5104;x
elizna;elizna;9175;5145;x
gomhitxanrit;gomhitxanrit;9338;5028;x
miumud;bay_of_brasan;9440;5020;x
bagsumosdat;bay_of_brasan;9509;4959;x
biaaat;biaaat;9579;4938;x
nisoppirit;bay_of_brasan;9655;4932;x
kaashesh;coast_of_kheterat;8945;5090;x
blachyl;gulf_of_ouord;8925;5683;x
aldanhol;gulf_of_ouord;9003;5703;x
bal_ouord;gulf_of_ouord;9029;5700;x
fatherwell;fatherwell;9012;5677;x
southtower;gulf_of_ouord;9000;5639;x
madiroud;gulf_of_ouord;8974;5628;x
withacen;withacen;8919;5613;x
katrano;sea_of_follies;8849;5578;x
sirafan;coast_of_yametses;8884;5540;x
arekis;coast_of_yametses;8925;5535;x
re_uyel;coast_of_yametses;8936;5497;x
zorntanas;coast_of_yametses;8983;5494;x
isle_of_adrail;south_dameshead;8256;6099;x
gordihr;sea_of_echoes;9038;5474;x
ovdal_tungr;sea_of_echoes;9058;5506;x
kaproya_telen;purple_coast;9120;5538;x
vernat;purple_coast;9146;5538;x
eduz_wez;eduz_wez;9186;5546;x
pir_ail;gulf_of_glass;9236;5459;x
agshelum;gulf_of_glass;9280;5538;x
aqatbar;gulf_of_glass;9306;5529;x
eduz_szel_ninezim;gulf_of_glass;9317;5511;x
fajabahar;gulf_of_glass;9335;5456;x
deshkumar;gulf_of_glass;9370;5447;x
wibnuat;bay_of_paws;9035;5069;x
eonkavan;gulf_of_glass;9396;5395;x
kaboustraz;bay_of_mirrors;9469;5290;x
kuztanuz;bay_of_mirrors;9536;5241;x
zanakes;zanakes;9562;5244;x
anzabad;bay_of_mirrors;9556;5206;x
aqatabtu;bay_of_mirrors;9536;5200;x
rakkubtu;rakkubtu;9515;5183;x
djinnkalis;bay_of_brasan;9448;5104;x
brasan;bay_of_brasan;9477;5087;x
ergulagnu;salahad_bay;10632;4592;x
kadumar;bay_of_brasan;9573;5052;x
brasan_tanuz;bay_of_brasan;9541;5049;x
dromaz;sea_of_elizna;9384;5165;x
drolaklum;drolaklum;9457;5220;x
betelis;bay_of_mirrors;9399;5252;x
kurmod;sea_of_elizna;9344;5191;x
drolas_tip;drolas_strait;9300;5343;x
yametses;sea_of_echoes;8968;5439;x
glass_isles;gulf_of_glass;9344;5357;x
rakutmu;bay_of_brasan;9608;5005;x
salahad_gate;bay_of_brasan;9623;4953;x
storm_coast;storm_coast;8226;6754;x
deland;deland;8273;6774;x
celmaldor;serpents_maw;8279;6783;x
mawdock;mawdock;8218;6786;x
eyegard;serpents_maw;8183;6858;x
serpentback;serpentback;8334;6841;x
coldmarket;coldmarket;8407;6812;x
esald;bay_of_chills;8721;6669;x
reachspier;chilly_approach;8549;6710;x
ordal;chilly_approach;8541;6739;x
drowned_giant_isles;bay_of_chills;8642;6695;x
jotunsglotta;frozen_pass;8194;6922;x
south_chillsbay;south_chillsbay;8686;6608;x
estshore;bay_of_chills;8712;6634;x
chillpoint;chilly_approach;8715;6759;x
sondaar;vrorensbay;8759;6730;x
cedevik;cedevik;8829;6751;x
rivsby;vrorensbay;8872;6748;x
alencay;alencay;8645;6626;x
everwharf;bay_of_chills;8616;6678;x
bayvic;serpentback_coast;8494;6759;x
envermarck;serpentback_coast;8453;6780;x
seawall;seawall;8910;6733;x
isle_vroren;vrorensbay;8910;6754;x
bal_vroren;bal_vroren;8942;6736;x
ricancas;damesear_crossing;8250;5907;x
millsbay;coast_of_konwell;8366;5994;x
crothan;bay_of_crowns;8375;6250;x
bordercliff;flooded_coast;8733;5762;x
aiscestir;flooded_coast;8768;5788;x
loubhir;whalesbay;5050;5881;x
brunvern;silsensald_sea;4823;5613;x
silsensald;silsensald_sea;4765;5558;x
cas_colunn;silsensald_sea;4765;5607;x
taelarios;western_lastsight_islands;6385;5337;x
narawen;western_lastsight_islands;6196;5282;x
ivrandir;western_lastsight_islands;6080;5235;x
camnaril;coast_of_endrallian;5937;5270;x
antir_tifur;antir_tifur;5469;5290;x
ibsthemar;ibsthemar;5341;5299;x
arfil;coast_of_endrallian;5553;5194;x
isehris;coast_of_endrallian;5626;5235;x
the_twins;coast_of_endrallian;5672;5142;x
foirint_isles;bay_of_relief;5282;5424;x
sisters_coast;sisters_coast;5579;5133;x
celodirin;calamity_approach;5803;4964;x
criodhcel;lanaiandes_fall;5690;4898;x
samchi_moine;samchi_moine;6123;4909;x
orric_cheid;orric_cheid;6274;4874;x
antir_soara;banished_sea;6388;4807;x
coast_of_rebirth;bay_of_hope;6327;4706;x
lamin;bay_of_hope;6266;4665;x
naidrean;obaithail_bend;6155;4758;x
emulyon;fiorgam_coast;5157;5887;x
cheiri;cheiri;5175;6000;x
fiorgam;fiorgam_coast;5230;5922;x
sporreyn;frozen_pass;8273;6908;x
vuglborg;frozen_pass;8180;6954;x
nautakr;frozen_pass;8290;6963;x
torbjoldhavn;frozen_pass;8203;6992;x
konungrhavn;frozen_pass;8264;6983;x
revrhavn;reavers_coast;8084;6957;x
vestrund;reavers_coast;8052;6998;x
jotunskol;titans_walk_coast;8465;7012;x
rosstavik;titans_walk_coast;8538;7027;x
glodborg;titans_walk_coast;8378;6951;x
redgarhavn;gerudian_bank;8631;6995;x
olavsborg;gerudian_bank;8672;7021;x
avnkaup;gerudian_bank;8698;7047;x
orstengard;gerudian_bank;8706;7027;x
naugsvol;gerudian_bank;8724;6995;x
baldersby;gerudian_bank;8747;6983;x
urviksten;gerudian_bank;8800;6922;x
giants_manse;giants_manse_coast;8564;6916;x
giantsmarch;vrorensbay;8881;6803;x
knarhatt;reavers_coast;8014;6925;x
brutnord;brutnord;8093;7251;x
murtrhol;fjordsbay;8104;7309;x
thurrsbol;fjordsbay;7982;7300;x
eikodr;frozen_pass;8154;6986;x
allt;fjordsbay;7834;7321;x
dukklbjarg;fjordsbay;7953;7196;x
lonely_isle;lonely_isle_sea;6810;6672;x
scadhimeial;scadhimeial;5277;5302;x
arbrinne;arbrinne;5105;5340;x
rubenshore;rubenshore;5038;5241;x
bristentir;bristentir;4948;5282;x
jercel;jercel;4864;5229;x
aelthan;severed_bay;4904;5078;x
marbeloch;north_gate_sea;5070;4909;x
endrals_reach;north_gate_sea;5157;4883;x
cymcost;pirendral_strait;5451;4839;x
rhaedemele;lanaiandes_fall;5585;4802;x
imeldubast;coast_of_sella;4637;5767;x
fiorcog;fiorcog;4605;5820;x
sella;coast_of_sella;4622;5712;x
kwinehkost;coast_of_sella;4567;5645;x
pointy_end;east_bloodgroves_coast;4261;5296;x
vincenton;west_bloodgroves_coast;3970;5375;x
trollsbridge;trollsbay;3790;5369;x
tehaneksom;tehaneksom;3761;5442;x
marlliande;north_trollsbay;3761;5482;x
georgs_beach;north_trollsbay;3624;5439;x
ynnsmouth;north_trollsbay;3595;5485;x
zankumar;west_trollsbay;3488;5372;x
trasilden;trasilden;3499;5346;x
port_isobel;west_trollsbay;3522;5290;x
isobel_island;west_trollsbay;3522;5302;x
thilvis;thilvis;3517;5244;x
laneksfield;laneksfield;3592;5218;x
armocsport;armocsport;3633;5206;x
valorpoint;valorpoint;3706;5206;x
cape_deryk;trollsbay;3741;5124;x
trollmark;trollcoast;3642;5075;x
seven_stone_trolls;trollsbay;3822;5287;x
saamiribar;trollcoast;3650;4921;x
ulmisore;trollcoast;3601;4895;x
uturakal;northern_reapers_coast;3613;4813;x
travellers_rest;north_gate_sea;5018;4866;x
irmathuan;pirendral_strait;5312;4749;x
qathcel;pirendral_strait;5370;4633;x
gate_islands;south_gate_sea;5041;4508;x
bronnail;south_gate_sea;5056;4383;x
docheamur;docheamur;5373;4348;x
vardihen;vardihen;5169;4374;x
eadohas;sea_of_despondence;5000;4313;x
cape_of_revelation;endrals_way;4954;4132;x
mortrin;endrals_way;4957;4089;x
ineilaine;silverten_pass;5032;4007;x
bacadh_tras;silverten_pass;5172;3865;x
ochchus_coast;ochchus_sea;5335;3859;x
ciallaire;ochchus_sea;5413;3984;x
lethpaiss;faliltverten_coast;5416;4097;x
faliltverten;faliltverten_coast;5451;4225;x
sheah_frigoria;silverten_pass;4948;3967;x
gearum_rog;endrals_way;4840;4106;x
sheahin;endrals_way;4712;3972;x
arore;endrals_way;4628;3885;x
graxarr;graxarr;4500;4598;x
unitz;ruinous_core;4477;4790;x
madarr;ruinous_core;4427;4915;x
graxilzin;ruinous_core;4346;4973;x
breccia_stacks;verten_coast;4189;4860;x
splashback;verten_coast;4157;4810;x
melted_detritus;verten_coast;4148;4772;x
busted_rocks;verten_coast;4096;4604;x
north_verten;verten_coast;4032;4560;x
west_verten;verten_coast;4014;4482;x
pirates_retreat;pirates_retreat;3927;4525;x
new_calas;the_bend;3901;4546;x
marail;marail;3808;4511;x
glorious_views;isles_of_plenty;3808;4394;x
untamed_paradise;untamed_paradise;3877;4307;x
endless_sun;isles_of_plenty;3732;4225;x
perfect_beaches;perfect_beaches;3746;4272;x
devine_vines;isles_of_plenty;3665;4301;x
sudden_quagmire;cape_mordun;3589;4307;x
abrupt_drops;abrupt_drops;3607;4447;x
instant_thirst;the_dread_sea;3552;4449;x
south_reprieve;cape_mordun;3560;4365;x
north_reprieve;north_reprieve;3584;4479;x
the_speck;the_dread_sea;3488;4461;x
ruined_stacks;ruined_stacks;3453;4423;x
plenty_far;davies_coast;3886;4138;x
new_ainway;the_bend;3828;4476;x
reapers_due;the_dread_sea;3467;4578;x
crownisle;crownisle;3810;4441;x
chesh;the_dread_sea;3499;4662;x
isle_of_life;southern_reapers_coast;3322;4528;x
isle_of_death;isle_of_death;3275;4557;x
vertencost;silverten_pass;5120;3935;x
tennith;tennith;4590;5575;x
aggolinn;mouth_of_ruin;4584;5442;x
jertrinnkost;east_bloodgroves_coast;4471;5412;x
sennsect;east_bloodgroves_coast;4285;5450;x
cardumh;cardumh;1405;6233;x
malpadh;glorelthir;1314;6035;x
mordun_point;north_lovers_pass;3272;4228;x
halann;anbennar3579;13061;3696;x
frondvagr;upper_dalairey_coast;4736;6492;x
ambrstrond;upper_dalairey_coast;4846;6500;x
gufvidr;iceberg_alley;4986;6518;x
forlorn_isle;coldswells;5332;6340;x
fjelstron;new_fjords;4980;6681;x
hasyni;new_fjords;4861;6794;x
votsend;fjordwash;4741;6855;x
stolkltur;fjordwash;4642;6879;x
tlemjord;tlemjord;4593;6972;x
kalgre;fjordwash;4485;7012;x
wanderers_bay;wanderers_sea;5029;4764;x
brotistadr;brotistadr;4372;7074;x
gliosail;broken_bay;4064;7021;x
gahmail;broken_bay;4125;7059;x
ndvariond;ndvariond;4305;7161;x
serenailean;serenailean;3909;7164;x
grimmstig;broken_gate;4139;7199;x
beinijord;beinijord;4174;7053;x
proiatudadd;proiatudadd;4142;7010;x
drominarcant;eastern_floeway;3938;7079;x
themarvar;themarvar;4084;6934;x
aineuan;aineuan;3991;6922;x
iadhthil;iadhthil;3979;6946;x
aistin;broken_bay;4020;6986;x
rhascost;rhascost;3886;7047;x
rhedhiande;rhedhiande;3688;7108;x
dhancost;dhancost;3496;6864;x
thilore;bay_of_verencel;3595;6969;x
dalliande;bay_of_verencel;3659;6928;x
lessor_tussock;bay_of_respite;3883;3996;x
verencel;bay_of_verencel;3432;6736;x
fadlecarser;fadlecarser;3336;6733;x
fadlecaiarser;fadlecaiarser;3179;6829;x
arsergozhar;arsergozhar;3002;6838;x
hrelabzan;hrelabzan;2810;6815;x
aerin;aerin;2816;6995;x
knofirm;knofirm;1614;6236;x
nazobcanobst;nazobcanobst;2577;6608;x
toreipadh;eigras_gate;2388;6303;x
wyltgawin;randrunnse;2434;5997;x
kaydhano_sea;tumhar;10522;4391;x
darsnech;darsnech;2242;5988;x
the_rim;cape_loranakodro;9137;3376;x
kiindtir;mthnyama;9765;3487;x
dalairey_wastes;anbennar1455;9271;2329;x
arberith_wastes;loneliest_whales;6187;6864;x
ekyunimoy;ciasuhul;2978;6076;x
slegcal;randrunnse;2397;5962;x
desert_of_the_haraf;arbcyrr;3892;7292;x
tsilo;sea_of_midnight;2976;7286;x
tsiloa;rezankost;5882;2495;x
hitsby;north_trollsbay;3543;5427;x
darkgroves;darkgroves;3272;4415;x
the_impenetrable;the_impenetrable;3243;4525;x
cestirmark;west_bloodgroves_coast;4017;5433;x
clafaidh;clafaidh;1486;6230;x
greywood_creek;trollcoast;3572;5031;x
soupspoone;trollcoast;3540;5002;x
okhispier;trollcoast;3520;4964;x
shofashok;shofashok;3485;4935;x
achukkoa;achukkoa;3456;4842;x
altarcliff;northern_reapers_coast;3392;4708;x
pale_coast;southern_reapers_coast;3298;4644;x
maskport;southern_reapers_coast;3255;4618;x
silvergard;southern_reapers_coast;3229;4592;x
cheshoshtchuka;southern_reapers_coast;3325;4703;x
bonebridge;northern_reapers_coast;3450;4767;x
jayekmoot;west_trollsbay;3572;5302;x
lionshire;north_trollsbay;3732;5479;x
smallmouth;west_trollsbay;3505;5276;x
spit_of_fate;cape_mordun;3316;4316;x
dolmthir;dolmthir;2295;5930;x
eirminn;randrunnse;2484;5936;x
fogrim;fogrim;2173;6073;x
jhorgashirr;jhorgashirr;2152;6122;x
snecholle;randrunnse;2152;6230;x
murdbogg;eigras_gate;2117;6384;x
darblath;fogharabh;1713;6308;x
gemradbogg;eigras_gate;1963;6562;x
buthir;eigras_gate;1858;6672;x
reotpont;reotpont;1736;6713;x
marathmas;marathmas;1672;6649;x
sarpont;fogharabh;1521;6567;x
gelamlan;randrunnse;2350;6125;x
gemradtiog;eigras_gate;2370;6442;x
eighleid;eighleid;1579;6407;x
ferusg;fogharabh;1637;6338;x
egstrel;anesgara_current;1594;6716;x
eltgorr;eltgorr;1669;6279;x
veskhrelab;western_broken_sea;2647;6765;x
raithtall;raithtall;1544;6242;x
arangreen;west_bloodgroves_coast;4113;5465;x
farrug;fogharabh;1317;6218;x
arrflor;arrflor;1349;5913;x
virb;virb;1384;5852;x
arakeprun;arakeprun;1373;5811;x
elchos;elchos;1370;5770;x
letih;milsgelp_shelf;1364;5750;x
korskille;milsgelp_shelf;1344;5686;x
kairncal;milsgelp_shelf;1361;5619;x
gathgob;sarmadfar;1373;5543;x
calcip;sarmadfar;1442;5538;x
alfrik;sarmadfar;1518;5517;x
bagcatir;sarmadfar;1570;5506;x
marmorac;elarbarc;1675;5546;x
dearktir;elarbarc;1733;5602;x
gannag;elarbarc;1812;5616;x
murdkather;elarbarc;1928;5651;x
siksath;elarbarc;1954;5639;x
lusrac;elarbarc;1850;5628;x
gallagran;elarbarc;1963;5604;x
urdoc;urdoc;1922;5520;x
billel;elarbarc;1908;5558;x
molgthir;elarbarc;1856;5418;x
soldarcam;soldarcam;1742;5383;x
gosgaclann;fograc_gulf;1463;5232;x
budhorac;fograc_gulf;1658;5250;x
lismel;fograc_gulf;1314;5130;x
farsenn;eastern_eor_islands;997;4868;x
sardach;western_eor_islands;404;4726;x
huytzlarn_pesemi;east_haraf_coast;3127;4287;x
mtzacuatencos;east_haraf_coast;3019;4339;x
benter_yolli;east_haraf_coast;2981;4409;x
yanquibar;east_haraf_coast;2900;4400;x
xaybatencos;east_gulf_of_haraf;2772;4417;x
xochializtli;east_gulf_of_haraf;2769;4467;x
tictlamtzo;east_gulf_of_haraf;2714;4493;x
terticac;east_gulf_of_haraf;2644;4583;x
tzahyocni;east_gulf_of_haraf;2548;4639;x
yocnichtec;west_gulf_of_haraf;2443;4610;x
kibiilchun;kibiilchun;2350;4514;x
yeakoleo;west_gulf_of_haraf;2362;4435;x
paleptalkal;west_gulf_of_haraf;2309;4348;x
leembalkal;west_gulf_of_haraf;2269;4287;x
lepkaoo;artificers_coast;2181;4240;x
tirpaoo;artificers_coast;2135;4196;x
yaleembal;artificers_coast;2068;4124;x
soostarnapo;artificers_coast;1957;4141;x
kiluiolob;kiluiolob;1847;4095;x
mioleptixepi;silent_coast;1762;4132;x
kalirxepi;silent_coast;1629;4243;x
sooltol;silent_coast;1582;4278;x
ptaleilhu;harafroy_inlet;1506;4377;x
tolalkal;harafroy_inlet;1515;4327;x
enchunu;harafroy_inlet;1460;4449;x
rafkabahn;rafkabahn;1527;4566;x
marlas;obscured_approach;4602;3940;x
neankabahn;neankabahn;1722;4624;x
fadhin;north_gate_sea;5239;4764;x
thorimcost;north_gate_sea;5253;4676;x
east_verten;east_verten;4066;4514;x
fat_end;west_bloodgroves_coast;4174;5316;x
distnirael;distnirael;4965;4246;x
gaddodcodd;west_gulf_of_haraf;2458;4519;x
calmharbour;calmharbour;2539;4476;x
dagger_point;stormy_bight;2571;4368;x
tomanton;stormy_bight;2490;4272;x
crooked_island;crooked_island;2792;4319;x
tlaylhu;east_haraf_coast;2946;4359;x
arpolail;north_lovers_pass;3153;4147;x
bristailean;coast_of_vanburia;2644;3917;x
einnsag;glorelthir;1088;5956;x
southpoint;matni_sea;2964;3696;x
leliathail;coast_of_vanburia;2813;3684;x
bayfield;steel_bay;2996;3812;x
wretchedcliff;coast_of_vanburia;2923;3836;x
ricardsport;steel_bay;3037;3847;x
erlanswood;matni_sea;3168;3827;x
ruinharbour;ruinharbour;3261;3908;x
greenhill;greenhill;3156;3943;x
naraine;naraine;3019;3969;x
ryail;south_lovers_pass;3328;3760;x
sorpolail;north_amadia_coast;3176;3551;x
edith_island;cape_bronrin;2781;3487;x
rionfort;matni_sea;3083;3780;x
coreg_islands;western_scattered_islands;2301;3393;x
madala_islands;madala_islands;2725;3073;x
galindas_point;bay_of_respite;3924;3903;x
wild_respite;bay_of_respite;4072;3769;x
misty_hills;davies_coast;4119;3964;x
thundering_damp;davies_coast;4168;3856;x
rootmoors;bay_of_respite;4139;3711;x
davies_tussock;davies_tussock;4197;3937;x
obstruction_bay;obscured_approach;4442;3824;x
green_landing;green_landing;4526;3769;x
poor_mans_paradise;poor_mans_paradise;4715;3856;x
emerald_coast;endrals_way;4866;3850;x
aahitonana;silverten_pass;5009;3731;x
clouded_point;obscured_approach;4369;3923;x
obscured_hills;davies_coast;4279;3862;x
sanguine_jungle;sanguine_jungle;4046;3719;x
gardens_of_doom;bay_of_respite;3982;3751;x
mutantroot;mutantroot;3784;3821;x
neuros;neuros;3636;3804;x
overgrown_harbor;overgrown_harbor;4253;3815;x
valleypass;valleypass;4573;3769;x
ehonifil;leechdens_norfen;4954;3577;x
ugachi;leechdens_norfen;4773;3507;x
nifiltoha;leechdens_norfen;4677;3484;x
hitohanifil;leechdens_norfen;4631;3446;x
machunana;leechdens_norfen;4544;3361;x
aahitomachu;aahitomachu;4520;3321;x
chimenhiti;chimenhiti;4677;3382;x
tohahaha;leechdens_middanfen;4736;3318;x
tihichi;tihichi;4730;3152;x
ehomachu;ehomachu;4779;3210;x
ehomekchti;ehomekchti;4808;3327;x
zulzulchi;leechdens_sorfen;4965;3347;x
numlmipi;leechdens_sorfen;4916;3233;x
ixix;ixix;5088;3300;x
nafahitoha;nafahitoha;5178;3257;x
selmekchtinana;leechdens;5285;3318;x
nifmekchtinana;wouduel;5172;3332;x
ixoth;leechdens_norfen;4718;3466;x
zuloth;leechdens_middanfen;4849;3379;x
nurcu;nurcu;5160;3571;x
nurmipi;nurmipi;5076;3519;x
zulnurgoro;leechdens;5248;3460;x
ixnurgoro;wouduel;5093;3353;x
dusinust;dusinust;5390;3260;x
dusinvi;dusinvi;5469;3201;x
tswohvoksel;tswohvoksel;5568;3201;x
munoust;munoust;5713;3196;x
airuoa;lais_approach;5797;3190;x
ainemuno;ainemuno;5765;3094;x
quiet_isle;lais_approach;5538;3414;x
orone;orone;5832;3105;x
thalasoron;thalasoron;5946;3111;x
thamusand;thamusand;5925;3242;x
munooon;coast_of_singers;5949;3056;x
uuamaine;uuamaine;5972;2951;x
voaand;voaand;5995;2896;x
ainekesthi;ainekesthi;6082;2841;x
aisu_kiindtir;aisu_kiindtir;6202;2719;x
ksullas;ksullas;6205;2614;x
aithamandand;lai_promontory_coast;6362;2465;x
three_hatchlings;tailsight;6600;2640;x
parnarca;tailsight;6682;2823;x
nesting_cove;tailsight;6734;2905;x
voyage_point;voyage_point;6786;3030;x
curmarket;southflipper_coast;6955;2736;x
carvers_point;southflipper_coast;7156;2666;x
beach_of_bronzeplume;beach_of_bronzeplume;6845;2972;x
greatbay;shell_bay;6993;3004;x
longgulf;longgulf;7121;2876;x
aisuaisu;radiant_straits;6103;2407;x
aisukesthi;radiant_straits;6050;2416;x
uumunkes;rezankost;5864;2521;x
uuamoon;rezankost;5829;2483;x
aelukesthi;suraels_respite;5533;2617;x
flocks_atoll;flocks_atoll;6592;1881;x
samawah;samawah;6225;2253;x
